name,ra,dec
PMN J0404-1718,61.107016,-17.307445
SUMSS J040610-693020,61.54446,-69.50538
SUMSS J040608-540445,61.53486,-54.08011
1eRASS J040923.1-382035,62.31764,-38.348
NVSS J040946-040003,62.44372,-4.00044
NVSS J041433-084206,63.63799,-8.70186
GB6 J0418+3411,64.54146,34.19303
NVSS J042006-040339,65.01963,-4.06141
PKS 0418-079,65.22467,-7.87293
PKS 0422+00,66.19517,0.60178
PMN J0425-5331,66.2678,-53.53285
MG2 J042948+2843,67.45797,28.71494
PMN J0430-2507,67.56687,-25.12739
MG1 J043022+1655,67.59311,16.91799
WISEA J043315.51-071752.6,68.3147107,-7.29801101
SUMSS J043344-572613,68.43379,-57.43681
NVSS J043614-003637,69.06075,-0.61066
PMN J0437-6157,69.33154,-61.94799
,69.63338,-42.66856
1SXPS J043949.5-190102,69.95717,-19.01707
B2 0437+27B,70.20992,27.84633
CRATES J044127+040841,70.37026,4.14434
PMN J0444-6014,71.25629,-60.24992
NVSS J045109+723014,72.79008,72.50349
NVSS J045312+632117,73.30189159,63.35496069
NVSS J045618-163552,74.07665,-16.59811
NVSS J045804+115142,74.52033,11.86197
CRATES J050429-151223,76.11999,-15.20746
TXS 0503-160,76.4229,-15.97824
NVSS J050605-040152,76.5249,-4.0312
1WGA J0506.6-0857,76.66621,-8.96711
TXS 0506+056,77.35819,5.69315
PMN J0511-6806,77.87217,-68.10496
,78.54882,-24.55844
GB6 J0515+1527,78.94731,15.45461
PMN J0517+0858,79.41692,8.97661
NVSS J052140+010257,80.42005,1.0488
PMN J0525-0051,81.47759,-0.86121
PMN J0527-6225,81.938639,-62.421253
,82.07167,-46.81904
PMN J0531-4827,82.99423,-48.45999
PMN J0532-8447,83.015061,-84.799333
GB6 J0532+6934,83.24338,69.58931
,83.74519,-54.65052
,85.4707,55.6577
PMN J0542-3500,85.72629,-34.99848
,86.4187,86.4187
PMN J0548-5218,87.12535,-52.30804
PMN J0551-3515,87.92625,-35.25922
SUMSS J055618-435146,89.07812,-43.86279
NVSS J055721+770442,89.338787,77.078624
PMN J0557-0719,89.405582,-7.320582
PKS 0600-749,89.69491,-74.98361
PMN J0601-7238,90.42114,-72.6421
,90.56305,-61.02103
PMN J0602-0004,90.67871,-0.07428
,90.7356,66.3619
NVSS J060324+604009,90.85446,60.66998
GB6 J0604+0000,91.24328,0.01242
CRATES J060650+440144,91.70925,44.02803
TXS 0603+476,91.84699,47.66269
B3 0609+413,93.21343,41.3772
,93.674,57.58024
PKS 0613-312,93.83005,-31.28933
PMN J0616-1040,94.17393,-10.6855
87GB 061258.1+570222,94.32073,57.02141
GB6 J0620+3806,95.075512,38.090649
PMN J0621-2213,95.29261,-22.22855
PMN J0624-6327,96.02899,-63.46597
PKS 0625-35,96.77804,-35.4876
,97.2456,-23.6429
GB6 J0629+6900,97.34256,69.00533
,99.335314,-62.319612
GB6 J0638+6016,99.64892,60.28413
,100.1308,33.06383
WISEA J064111.26-520232.2,100.29702,-52.04219
PKS 0641-331,100.89425,-33.24154
WISEA J065010.33-514421.9,102.54305,-51.73942
NVSS J065125+652458,102.8555,65.41582
WN B0643.2+7959,102.99379,79.94202
LEDA 571171,103.50054,-41.86276
B3 0651+428,103.68133,42.79964
NVSS J065523-263041,103.84929,-26.51178
,104.6642,23.2633
,105.0047,-28.9299
PKS 0700-661,105.13022,-66.17923
1RXS J070312.7-391417,105.80268,-39.23858
,106.21238,45.04494
NVSS J070651+774137,106.71389,77.69361
NGC 2329,107.28336,48.61664
GB6 J0713+5738,108.26932,57.63658
NVSS J071416+110830,108.56912,11.14169
PMN J0715-6829,108.79202,-68.49837
SUMSS J071544-453031,108.93925,-45.50866
PMN J0718-4319,109.68178,-43.33048
S5 0716+71,110.47241,71.34349
,110.9925,70.2145
GB6 J0727+4827,111.99939,48.45565
,113.36343,-76.32186
TXS 0729+493,113.2435,49.28308
GB6 J0733+4111,113.445,41.18886
,114.20318,-80.81339
PKS 0735+17,114.53075,17.70528
,114.70401,13.13286
,114.84949,75.0564
SUMSS J074220-813139,115.59444,-81.52714
WISEA J074053.00-522553.9,115.2208,-52.43164
LEDA 1979979,115.27475,32.09556
TXS 0740+173,115.77125,17.24011
NVSS J074654+453231,116.726561,45.542213
TXS 0746+110,117.36408,10.95919
SDSS J074916.88+445232.1,117.32065,44.87537
,117.53487,-75.26847
PMN J0751-0421,117.844667,-4.36063
NVSS J075305+431924,118.27441,43.32357
,118.29067,46.86532
,118.88384,18.92898
SUMSS J075625-643031,119.1019,-64.50878
SDSS J075846.99+270515.5,119.69581,27.08757
NVSS J080115+133643,120.31184,13.61151
,120.42117,-6.09317
NVSS J080159+100535,120.52007,10.1105
TXS 0802+043,121.18138,4.23611
GB6 J0805+6745,121.25958,67.76714
,121.33395,-74.44052
NVSS J080551+383538,121.46576,38.59393
PKS 0804-05,121.78966,-5.68725
NVSS J080721+331300,121.8401,33.2172
B2 0806+31,122.30602,31.37303
PMN J0810-7530,122.76367,-75.50779
NVSS J081307+784308,123.28149,78.71882
GB6 J0814+6431,123.66325,64.52281
2MASX J08153642+2950218,123.90185,29.83944
NVSS J081609+491005,124.03983,49.16789
SBS 0812+578,124.09428,57.65279
TXS 0815-094,124.45729,-9.5585
GB6 J0818+2813,124.61353,28.23378
B2 0815+32,124.66692,31.89672
GB6 J0819+4037,124.85792,40.62889
MG2 J082018+3640,125.08413,36.66794
NVSS J082105-064945,125.27224,-6.82922
,126.84236,-1.09885
PMN J0829-5856,127.37987,-58.93353
GB6 J0829+5108,127.4502,51.14102
SUMSS J083336-642039,182.15153,-76.5904108
B3 0831+442,128.74246,44.06064
GB6 J0835+0936,128.93,9.62167
NVSS J083705+583151,129.27533,58.53099
TXS 0836+182,129.87796,18.04644
NVSS J083943+354001,129.93071,35.66708
TXS 0838+671,130.68024,66.95841
,131.151,30.59518
GB6 J0848+7017,132.16442,70.29094
TXS 0846+051,132.38558,4.91886
GB6 J0851+5528,132.89971,55.47631
TXS 0853+211,134.16563,20.96208
RX J0857.8+0135,134.45839,1.59174
NVSS J085740+860344,134.42252,86.062279
NVSS J090226+205045,135.61203,20.84599
TXS 0905+670,137.339808,66.80987
,138.3926,15.69546
SDSS J091451.54+584438.1,138.71474,58.7439
,139.05276,12.02062
,139.698,35.2261
PKS 0924-819,140.43558,-82.16082
NVSS J092145+233548,140.439,23.59669
,140.78759,-11.54193
NVSS J092638+541126,141.66196,54.19072
,142.2151,39.2346
NVSS J092849-352947,142.20752,-35.49675
NVSS J092928-241632,142.36698,-24.27631
S5 0916+864,142.42942,86.20592
NGC 2892,142.98698,67.61471
TXS 0929+338,143.22942,33.65822
SUMSS J093448-691104,143.70253,-69.1849
GB6 J0936+1850,144.11525,18.83425
,144.533,51.8511
,145.16082,-26.95552
NVSS J094223+284413,145.59709,28.73734
NVSS J094441+555752,146.17281,55.96471
GB6 J0945+5757,146.42598,57.96325
RX J0946.0+4735,146.51865,47.58616
,146.53743,-35.64807
GB6 J0950+0615,147.51446,6.25106
RX J0950.2+4553,147.54921,45.88892
,148.4593,-31.957
2MASS J09541965-2519588,148.58185,-25.33289
,148.91753,47.36514
NVSS J095501+083342,148.75782,8.56173
GB6 J1001+2911,150.29117,29.1943
PKS 1004-217,151.69339,-21.98936
PKS 1006-313,152.21063,-31.65152
,152.31578,-0.59158
PKS B1008-227,152.83627,-23.02211
NVSS J101147+360019,152.94667,36.00514
NRAO 350,153.05572,6.51555
NVSS J101319-400549,153.331208,-40.096627
NVSS J101445+320725,153.69037,32.12439
NVSS J101634-265057,154.14458,-26.84994
,154.27341,59.98633
TXS 1015+594,154.74391,59.19107
NVSS J101948+051327,154.95103,5.22468
2MASS J10203893-3920563,155.16227,-39.34898
,156.964653,-35.869479
TXS 1025+313,157.07338,31.12618
2MASS J10284195+8253398,157.174251,82.894777
PMN J1030-8402,157.56369,-84.0524
B3 1029+378,158.16967,37.64076
2MASS J10323905+6623234,158.16283,66.38978
1RXS J103657.5-195432,159.23319,-19.90666
NVSS J103845+392736,159.69097,39.45963
NVSS J103921-285009,159.840565,-28.8355314
GB6 J1039+7326,159.91456,73.43249
1RXS J104204.1-412936,160.51258,-41.49164
7C 1043+5505,161.62,54.829
GB6 J1047+7238,161.94802,72.63693
NVSS J105151+010312,162.96596,1.05302
PMN J1053-3743,163.24207,-37.72183
87GB 105148.6+222705,163.62761,22.18188
,164.01455,-18.15818
GB6 J1058+2817,164.62456,28.29617
PKS B1056-113,164.80178,-11.573
,165.6139,13.28985
MG1 J110424+0730,166.1003,7.51477
NVSS J110547-073235,166.44911,-7.5429
GB6 J1105+3946,166.47424,39.78248
PMN J1106-1048,166.52338,-10.81481
PMN J1106-3647,166.60018,-36.78303
,166.86213,36.26992
NVSS J110735+022225,166.89965,2.3735
CRATES J111027.78-183552.6,167.61572,-18.59797
,167.8321,-32.5094
2MASS J11135586+1528058,168.48277,15.46826
,169.01072,18.31521
NVSS J111758-364918,169.49337,-36.82198
MGC 0019706,170.33092,-0.22124
,170.5615,39.3734
WISEA J112408.51-455241.4,171.0353,-45.87783
,171.16931,-6.9061
AT20G J112437-080643,171.15636,-8.11185
