name,ra,dec,bii
PSR J0002+6216,0.7423138073410719,62.26929818358971,-0.07379736694885271
PSR J0007+7303,1.7565,73.05225,10.463297321558201
PSR J0023+0923,5.820331279166667,9.389964727777777,-52.849262542302476
PSR J0030+0451,7.614280238333333,4.861029880555555,-57.61133245889715
PSR J0034-0534,8.590982106666667,-5.576874772222222,-68.068584963421
PSR J0101-6422,15.296319242583333,-64.37504667710277,-52.72026618952782
PSR J0102+4839,15.711121731666669,48.66187880555555,-14.166852232298897
PSR J0106+4855,16.604443599485744,48.93099640875109,-13.86705978700254
B0114+58,19.41105272958333,59.24400877222222,-3.4571226014891345
B0136+57,24.832250416666668,58.24217194444444,-4.044053186573482
PSR J0154+1833,28.65367978125,18.56409855277778,-41.80966184328642
PSR J0205+6449,31.40314968,64.82352480555555,3.0791273121048452
PSR J0218+4232,34.526494227916665,42.53815903333333,-17.526831350474453
PSR J0248+4230,42.129185691083336,42.505703418363886,-15.322383302483692
PSR J0248+6021,42.07767356458333,60.35979640277778,0.697486310333565
PSR J0251+2606,42.76064171033333,26.102769396116667,-29.485535502177196
PSR J0307+7443,46.98285995608333,74.72039554328056,14.223628863742999
PSR J0312-0921,48.025894400621695,-9.365709234615052,-52.378077107055574
PSR J0318+0253,49.56475345215602,2.8837538420313695,-43.60461136233223
PSR J0340+4130,55.097034907916665,41.51258256388889,-11.021859293073575
PSR J0357+3205,59.468,32.08905555555556,-16.00731316279849
PSR J0359+5414,59.8584527384684,54.24879196753937,0.883506417597945
PSR J0418+6635,64.69992154073147,66.5902017599393,11.535751430732834
PSR J0437-4715,69.31623851291667,-47.2525325,-41.963393480536936
PSR J0514-4408,78.71746545833334,-44.14371306111111,-35.364978008944455
PSR J0533+6759,83.479746947,67.988189559175,18.18338232984872
B0531+21,83.63308333333333,22.01447222222222,-5.7843743701026495
B0540-69,85.04562,-69.331969,-31.515935942421066
PSR J0554+3107,88.52090284308333,31.129192686847222,2.697374215303081
PSR J0605+3757,91.27309763916666,37.959984122222224,8.021638462202874
PSR J0610-2100,92.55665517500002,-21.007745908333334,-18.183569360758984
PSR J0613-0200,93.43323338,-2.0131260694444446,-9.304910951440336
PSR J0614-3329,93.54311669041667,-33.49836547777778,-21.827221324905356
PSR J0621+2514,95.29522941420834,25.234432951294444,5.072734415920495
PSR J0622+3749,95.54413351666666,37.81937680555556,10.957377791365143
PSR J0631+0646,97.96833345789376,6.770556340677988,-1.237468861476935
PSR J0631+1036,97.8648537375,10.61660576111111,0.4498159348440978
PSR J0633+0632,98.43392499999999,6.541777777777778,-0.9327302420325378
PSR J0633+1746,98.47563749999999,17.770252499999998,4.265810924481236
PSR J0636+5128,99.02019240083332,51.48332383888889,18.64258171931902
PSR J0653+4706,103.27422649083333,47.10747963055556,19.782649392962192
B0656+14,104.95075403333334,14.239318274999999,8.258458789927081
PSR J0729-1448,112.31646951166667,-14.81142065,1.4213977927032628
B0727-18,112.38480590666667,-18.611896361111114,-0.3411383780352344
PSR J0734-1559,113.69035755308352,-15.98866535193573,2.015473104706657
PSR J0737-3039A,114.46353160250001,-30.661305575,-4.504833992217281
PSR J0740+6620,115.190831865,66.342679275,29.599373963258675
B0740-28,115.70430950958333,-28.37887468888889,-2.4445153989692927
PSR J0744-2525,116.125,-25.425,-0.6489478591690314
PSR J0751+1807,117.78814503625,18.127347116666666,21.08583218789595
PSR J0802-5613,120.62499999999999,-56.225,-13.182859108531435
PSR J0834-4159,128.57419168125,-41.993330175000004,-1.0355263076142902
B0833-45,128.83588120833335,-45.17635419444444,-2.7873116914292235
B0906-49,137.14791207,-49.21815619722222,-1.0186668913625645
B0919+06,140.558237506375,6.639358340166666,36.392053484013964
PSR J0931-1902,142.82965725250003,-19.048616194444445,23.05363439807284
PSR J0940-5428,145.24271794999999,-54.47784233833333,-1.2922302168079505
PSR J0952-0607,148.03467547448955,-6.123196811267331,35.380125219389384
PSR J0955-3947,148.87499999999997,-39.791666666666664,11.549686669988562
PSR J0955-6150,148.83685571495832,-61.83802658375278,-5.737094328816063
PSR J1012-4235,153.05392103516667,-42.59817802794445,11.22464796234197
PSR J1016-5857,154.0881666666667,-58.953361111111114,-1.8798745662207668
PSR J1019-5749,154.96714914166668,-57.81840094277778,-0.6792201957362095
PSR J1023+0038,155.94869666666665,0.6446793055555554,45.78225957305556
PSR J1023-5746,155.76543633333333,-57.771322678888886,-0.40917197674617195
PSR J1024-0719,156.16112038916668,-7.322101627777777,40.51545179444473
PSR J1028-5819,157.11616347541667,-58.31839477222223,-0.49589504654829597
PSR J1035-6720,158.864487721375,-67.33685876735278,-7.843184416737843
PSR J1036-8317,159.16949566429167,-83.2989323317639,-21.497369494985225
PSR J1044-5737,161.13653245416666,-57.62210175,1.162800447272873
PSR J1048+2339,162.18090980920834,23.66483454033333,62.13949998403033
B1046-58,162.05266666666668,-58.534375,0.5774944545623734
PSR J1055-6028,163.91387137461913,-60.47649361013864,-0.7444813955280942
B1055-52,164.49574462083334,-52.44901181472222,6.64929782530049
PSR J1057-5851,164.28816572416665,-58.851562780555554,0.8048814773341332
PSR J1105-6037,166.2519740966362,-60.62118582166773,-0.39932410722712125
PSR J1105-6107,166.358459575,-61.13043002472222,-0.8459002889974072
PSR J1111-6039,167.95304970958333,-60.65647773888889,-0.10930394980260165
PSR J1112-6103,168.06177660416665,-61.059238836388886,-0.46302362629607247
PSR J1119-6127,169.80958333333334,-61.463750000000005,-0.5369404882403095
PSR J1124-3653,171.00465369875002,-36.88863853611111,22.764729583861538
PSR J1124-5916,171.1629166666667,-59.27222222222222,1.7515499458673154
PSR J1125-5825,171.434854482,-58.421353008769444,2.6015971670518367
PSR J1125-6014,171.48007873291664,-60.23516576388889,0.8937002467215132
PSR J1135-6055,173.78500164656413,-60.92694456185969,0.5839663256964386
PSR J1137+7528,174.258566502125,75.46730805558333,40.77236194398135
PSR J1139-6247,174.875,-62.791666666666664,-1.0591528618530734
PSR J1142+0119,175.70892567958333,1.3265486222222223,59.39994413343323
PSR J1151-6108,177.98691875275,-61.13824809639722,0.9086845974782694
PSR J1203-6242,180.875,-62.708333333333336,-0.3462033939672107
PSR J1207-5050,181.84334621341668,-50.84407388606111,11.42172404486807
PSR J1208-6238,182.0580442890966,-62.63410050316944,-0.17764514080944127
PSR J1221-0633,185.35318302049998,-6.564282690972222,55.53273721094174
B1221-63,186.09272084583333,-64.13162136888889,-1.4148946936502422
PSR J1227-4853,186.99468362875,-48.89520222777778,13.795790786861716
PSR J1231-1411,187.79708982625002,-14.195450905555555,48.38509910725184
PSR J1231-5113,187.875,-51.225,11.52346968651958
PSR J1231-6511,187.875,-65.19166666666668,-2.400898027999505
PSR J1253-5820,193.36843599291666,-58.34462354722223,4.526067327692097
PSR J1259-8148,194.87499999999997,-81.80833333333334,-18.941335602188815
PSR J1301+0833,195.40943442987503,8.565958464861112,71.28149839748602
PSR J1302-3258,195.60636039333335,-32.976904797222225,29.838166529863486
PSR J1306-6043,196.625,-60.725,2.0928817303383376
PSR J1311-3430,197.94051472908333,-34.508429883375,28.175838377053342
PSR J1312+0051,198.19433629041666,0.8500256472222222,63.22723502833833
PSR J1327-0755,201.98991806958333,-7.925012213888889,53.847505995095
PSR J1335-5656,203.875,-56.94166666666666,5.415061393529063
B1338-62,205.427625,-62.339083333333335,-0.03458838358043637
PSR J1350-6225,207.68514537000001,-62.42879074444444,-0.34278258119916105
PSR J1357-6429,209.260125,-64.49172222222222,-2.514078158287803
PSR J1358-6025,209.625,-60.425,1.3763286209786811
PSR J1400-1431,210.15416578958335,-14.529708258333335,45.08663767227917
PSR J1402+13,210.69339981041668,13.116367180555555,68.21696532581224
PSR J1410-6132,212.59273557083333,-61.53334495805555,-0.08906158891525946
PSR J1413-6205,213.3759022625,-62.093516975,-0.7355916225558249
PSR J1418-6058,214.6783438029167,-60.96665601666667,0.13190934901296786
PSR J1420-6048,215.03326919416668,-60.80396153611111,0.22773213756499094
PSR J1422-6138,215.61716468793074,-61.64184013645003,-0.6557893991733194
PSR J1429-5911,217.49393235708334,-59.193483577777776,1.2989787880371158
PSR J1431-4715,217.93591537125002,-47.257659016666665,12.25260278498771
PSR J1446-4701,221.64880814708334,-47.024101969444445,11.425316881833174
PSR J1447-5757,221.875,-57.958333333333336,1.5120577204233048
PSR J1455-3330,223.949881625,-33.51288489722222,22.5622560831916
