name,ra,dec 
PGC 0050588,212.5637,48.5459
PGC 0050690,212.9835,27.1138
PGC 0051006,214.2212,10.807
PGC 0051084,214.5388,7.5642
PGC 0051272,215.2481,6.2024
PGC 0051275,215.265,3.2707
PGC 0051312,215.4104,35.2047
PGC 0051354,215.6185,40.3195
PGC 0051382,215.7565,40.3775
PGC 0051417,215.9377,40.024
PGC 0051705,217.1432,11.3781
PGC 0051751,217.3065,30.026
PGC 0051787,217.4179,3.2333
PGC 0051834,217.607,11.9277
PGC 0052116,218.7183,54.4756
PGC 0052173,218.9355,-0.0134
PGC 0052179,218.9592,36.5426
PGC 0052192,219.0667,29.9083
PGC 0052199,219.0853,5.3305
PGC 0052743,221.5912,32.7799
PGC 0052752,221.6302,1.2747
PGC 0052754,221.6395,33.4083
PGC 0052788,221.7763,11.5939
PGC 0052883,222.1525,11.3254
PGC 0053260,223.5526,4.7494
PGC 0053379,223.9804,11.8614
PGC 0053408,224.1008,49.6959
PGC 0053418,224.1511,9.3696
PGC 0053530,224.744,49.8212
PGC 0053643,225.2972,1.7018
PGC 0053770,226.0296,1.2199
PGC 0053901,226.5037,1.6337
PGC 0053930,226.6217,1.595
PGC 0053932,226.6224,1.6053
PGC 0054526,229.1859,7.0212
PGC 0054839,230.4665,7.7087
PGC 0055360,233.134,4.6808
PGC 0055551,233.9682,57.9026
PGC 0055552,233.9672,39.769
PGC 0055559,233.9878,43.4931
PGC 0055733,234.9133,21.7824
PGC 0055845,235.6905,8.2409
PGC 0055943,236.2464,36.1092
PGC 0056131,237.3662,0.2286
PGC 0056398,238.9307,47.8671
PGC 0056450,239.181,48.095
PGC 0056462,239.2632,48.1684
PGC 0056467,239.2842,22.4044
PGC 0056492,239.457,16.3098
PGC 0056650,240.1556,19.7232
PGC 0056695,240.32,15.6453
PGC 0056704,240.3384,16.6766
PGC 0056717,240.3777,15.5034
PGC 0056755,240.4945,47.0965
PGC 0056770,240.5529,15.9075
PGC 0056780,240.5832,16.3459
PGC 0056784,240.5714,15.9746
PGC 0056838,240.7449,15.8428
PGC 0056847,240.8116,16.4025
PGC 0056877,240.8837,17.1987
PGC 0056943,241.1483,16.9022
