name,ra,dec,major,minor,angle
IC150127A    100.4200      4.3900     53.2     35.4     90.0
IC150129A    357.2300      8.3400    130.5     91.8     90.0
IC150224A    236.9300     55.1450     86.7     50.2      0.0
IC150313A    127.1350     -3.5750     53.1     46.4      0.0
IC150428A     29.8700     15.5650     39.9     37.5     90.0
IC150515A     92.1300     12.8100     32.4     25.2      0.0
IC150526A    139.0950     -1.8650     46.5     29.1     90.0
IC150601A    333.5100      9.4850     32.7     30.8      0.0
IC150609A     49.9450      0.0800     40.5     38.4     90.0
IC150609B    245.6150      0.3200     32.4     30.3      0.0
IC150625A     72.9150      0.7850     42.9     36.9     90.0
IC150625B    306.8650     18.5950     60.6     44.7     90.0
IC150714A    325.5450     26.3500     52.8     45.4      0.0
IC150812A    318.7600     31.6550     49.0     34.5     90.0
IC150812B    328.8050      5.9950     31.3     29.7     90.0
IC150823A    325.5700     -2.1900     33.6     31.8     90.0
IC150831A     54.4550     33.7000     34.2     21.2      0.0
IC150904A    133.6000     27.4150     36.2     32.7     90.0
IC150914A    130.3150     30.5250     33.9     29.7      0.0
IC150918A     48.7700     -3.0100     33.6     30.6     90.0
IC150919A    280.4550     30.3450     48.4     47.1     90.0
IC150923A    103.4900      3.5150     29.3     24.3     90.0
IC150926A    193.9750     -4.4600     49.2     48.8      0.0
IC151013A    179.7450     51.7500     59.4     49.5      0.0
IC151017A    197.8000     19.8800     77.4     75.6     90.0
IC151114A     75.2900     12.3200     64.2     46.9      0.0
IC151122A    261.8300     -2.2000     26.4     21.0     90.0
IC160104A     78.7050      5.5300     49.8     43.3      0.0
IC160128A    263.0900    -15.4500     35.4     33.5      0.0
IC160225A    311.3000     60.4850     45.9     44.3      0.0
IC160307A     92.8800     10.6600     45.4     34.8     90.0
IC160331A    151.1850     15.7100     31.2     26.9      0.0
IC160410A    235.1950     -4.1400     29.6     28.8     90.0
IC160427A    240.3050      9.1950     17.5     15.9     90.0
IC160510A    353.0400      2.4050     40.2     38.1     90.0
IC160612A     18.0050      4.0300     52.8     36.2      0.0
IC160614A    214.7800     39.7250     54.9     40.6      0.0
IC160615A    303.7600     12.8750     32.1     29.2      0.0
IC160707A    351.5750      0.9150     29.7     29.1      0.0
IC160720A     63.5650     27.4050    102.0     53.1     90.0
IC160727A    112.7250     14.8050     33.9     30.3     90.0
IC160731A    214.7900     -0.7900     24.0     22.2      0.0
IC160731B    312.9600     20.2950     46.5     34.3      0.0
IC160806A    122.4900     -0.6000     28.2     23.4     90.0
IC160812A     87.3550     48.6350    158.1    150.3      0.0
IC160814A    198.0700    -32.4650     63.8     47.1     90.0
IC160924A    240.5150      1.7550     69.3     50.7      0.0
IC161001A    192.9400     37.3900     88.1     65.4     90.0
IC161012A    188.6100     -8.1800    112.2     94.4      0.0
IC161021A    121.9250     23.5400     34.9     30.6     90.0
IC161027A    118.8750      1.7950     95.7     60.9      0.0
IC161103A     41.7750     13.1650     55.2     48.9     90.0
IC161117A     77.9500      1.5100     70.2     68.4     90.0
IC161125A    141.1600     -0.2950     49.2     38.7     90.0
IC161127A    263.3150     71.7850    508.6    222.9     90.0
IC161210A     46.7500     15.0950     33.9     31.9      0.0
IC161224A     62.0900     18.2400     50.7     49.2     90.0
IC170105A    311.6700      7.9650     39.3     36.2      0.0
IC170206A    179.2550     32.8650     65.1     49.7      0.0
IC170208A    100.6650     16.4250     62.4     41.7     90.0
IC170208B     92.3750      4.3900     73.3     55.2     90.0
IC170227A    204.4100      4.4700     85.5     47.4     90.0
IC170308A    156.1650      5.5900     55.8     35.4     90.0
IC170321A     97.8800    -14.3350     48.3     47.7     90.0
IC170422A    240.8150      5.5950    114.4     42.3     90.0
IC170427A      4.3750     -0.4900     48.3     30.6     90.0
IC170514A    311.8300     18.5700     32.4     30.1      0.0
IC170514B    226.3450     30.1200     62.4     59.9      0.0
IC170527A    179.4900     27.1050     69.3     47.4      0.0
IC170621A     74.2800     25.9050     80.9     60.3     90.0
IC170626A    281.0400      9.5400     60.9     38.4     90.0
IC170704A    230.5800     23.3800     52.9     45.6     90.0
IC170717A    208.0200     23.7300     74.2     58.2     90.0
IC170803A      1.6750      4.7950    158.2     26.7     90.0
IC170809A     21.5050     -2.8000     48.2     38.4     90.0
IC170819A     27.2650     18.7100     30.6     28.1      0.0
IC170824A     39.3500     11.7300    239.8    111.0     90.0
IC170922A     77.4850      6.0500     33.7     29.4     90.0
IC170923A    172.7650     -2.6950     29.1     28.5     90.0
IC171006A    132.4850     17.4800     52.4     51.0     90.0
IC171015A    163.1250    -15.6450     65.6     29.1     90.0
