name,ra,dec
SY2 J0004+7020,1.008208,70.321722
SY2 J0025+6821,6.384875,68.362472
SY2 J0034-0424,8.636667,-4.403306
SY2 J0042-2332,10.720000,-23.541000
SY2 J0106+0638,16.688583,6.633889
SY2 J0111-3804,17.865125,-38.083444
SY2 J0114-3239,18.529167,-32.650917
SY2 J0200+2428,30.079375,24.473861
SY2 J0201-0649,30.276875,-6.815833
SY2 J0209-1010,32.352417,-10.135833
SY2 J0234+3229,38.583750,32.505722
SY2 J0242+0000,40.669542,-0.013250
SY2 J0250+4647,42.613250,46.791472
SY2 J0250+5443,42.677375,54.704861
SY2 J0252-0829,43.097458,-8.510278
SY2 J0255-0011,43.800750,-0.183722
SY2 J0303-0106,45.954583,-1.103667
SY2 J0317+0115,49.259000,1.254972
SY2 J0324-0301,51.202792,-3.042222
SY2 J0325-1219,51.270583,-12.308028
SY2 J0325-0607,51.355667,-6.143861
SY2 J0453+0403,73.357208,4.061611
SY2 J0455-7532,73.995333,-75.541167
SY2 J0505-2351,76.440500,-23.853917
SY2 J0520-2522,80.255792,-25.362556
SY2 J0547+5038,86.811917,50.640417
SY2 J0552-0727,88.047375,-7.456222
SY2 J0733+4414,113.349042,44.246917
SY2 J0742+6510,115.673750,65.177083
SY2 J0800+2636,120.087375,26.613528
SY2 J0804+1046,121.193250,10.776667
SY2 J0838+0407,129.700625,4.126111
SY2 J0843+3549,130.937417,35.828444
SY2 J0844+3056,131.242958,30.944000
SY2 J0855+6423,133.802417,64.395972
SY2 J0855+0047,133.948542,0.794222
SY2 J0859+4454,134.876958,44.914028
SY2 J0911+4528,137.874875,45.468250
SY2 J0919+5527,139.805000,55.465306
SY2 J0919+3711,139.991542,37.191056
SY2 J0920-0803,140.192708,-8.056056
SY2 J0929+6232,142.407833,62.544083
SY2 J0942+2341,145.519958,23.685306
SY2 J0952-6232,148.085208,-62.543222
SY2 J0954+3724,148.664375,37.408667
SY2 J0959-2249,149.873083,-22.826306
SY2 J1001+5540,150.490917,55.679861
SY2 J1009-4248,152.450792,-42.811222
SY2 J1031-3451,157.967042,-34.853667
SY2 J1040-4625,160.093208,-46.423778
SY2 J1043+7025,161.035542,70.405361
SY2 J1044+3810,161.204042,38.181194
SY2 J1046+2555,161.677125,25.931611
SY2 J1049+2258,162.378875,22.964556
SY2 J1132+5304,173.145292,53.067972
SY2 J1136-6003,174.175208,-60.051722
SY2 J1145+5858,176.388083,58.978167
SY2 J1200+0648,180.241458,6.806389
SY2 J1202-5350,180.698458,-53.835500
SY2 J1204+2019,181.123625,20.316306
SY2 J1206+5242,181.596125,52.711056
SY2 J1207+4307,181.942250,43.126417
SY2 J1209+4703,182.308833,47.058389
SY2 J1213+3235,183.288792,32.596361
SY2 J1225+1239,186.444917,12.662194
SY2 J1231+5757,187.842542,57.964611
SY2 J1235-3954,188.902667,-39.909333
SY2 J1238+0927,189.680958,9.460167
SY2 J1239-1612,189.776208,-16.179750
SY2 J1304-0532,196.054583,-5.551556
SY2 J1304-1020,196.059708,-10.339472
SY2 J1309+1138,197.273333,11.634167
SY2 J1310+0837,197.738583,8.627417
SY2 J1315+4424,198.822167,44.407194
SY2 J1335+0259,203.951042,2.998944
SY2 J1338+0432,204.566167,4.542667
SY2 J1341+6741,205.274042,67.672250
SY2 J1344+1933,206.065292,19.566667
SY2 J1344+5553,206.175417,55.887028
SY2 J1345+4142,206.329875,41.712389
SY2 J1413-6520,213.291417,-65.339083
SY2 J1424+2436,216.095500,24.614194
SY2 J1430-4158,217.550917,-41.975306
SY2 J1432-4409,218.169625,-44.174417
SY2 J1433+0527,218.467833,5.458361
SY2 J1440+5330,220.158750,53.504444
SY2 J1457-4307,224.421583,-43.132028
SY2 J1515+4202,228.763583,42.049833
SY2 J1518+2048,229.742417,20.815361
SY2 J1521+3912,230.387417,39.200750
SY2 J1540+1416,235.054042,14.278694
SY2 J1541-5028,235.360125,-50.473139
SY2 J1553-6140,238.396875,-61.682833
SY2 J1554-3738,238.694833,-37.638667
SY2 J1605-7253,241.346958,-72.898944
SY2 J1627+3609,246.964000,36.155611
SY2 J1628+5146,247.016917,51.775417
SY2 J1630+3923,247.636083,39.384222
SY2 J1652+5555,253.078708,55.905556
SY2 J1717-6249,259.248125,-62.820528
SY2 J1735+2047,263.890667,20.796361
SY2 J1824-5622,276.080750,-56.369056
SY2 J1830+0928,277.710958,9.478333
SY2 J1831-3336,277.811417,-33.602333
SY2 J1836-5924,279.242625,-59.402250
SY2 J1838-6525,279.584667,-65.427500
SY2 J1845+7211,281.359125,72.183806
SY2 J1947+4449,296.830625,44.828361
SY2 J2052-5704,313.009792,-57.068722
SY2 J2112+1124,318.102833,11.408667
SY2 J2202-3152,330.507875,-31.869528
SY2 J2235-2602,338.942500,-26.050361
SY2 J2236+3358,339.014875,33.975833
SY2 J2254+1147,343.581958,11.782583
SY2 J2305+0011,346.328458,0.189528
SY2 J2322-0645,350.601958,-6.760500
SY2 J2328+0330,352.266250,3.533306
SY2 J2330+7122,352.657042,71.379583
