ra,dec,name
344.067,56.834,240123
345.2273,60.2038,240156
346.0374,60.5058,240181
347.1068,60.2916,240198
348.044,60.6603,240221
348.1707,60.7105,240227
349.493,60.6631,240248
349.5245,59.8632,240250
349.544,60.6466,240253
349.749,60.4303,240256
350.3108,55.9312,240266
350.2873,59.7812,240267
350.9771,59.1823,240284
351.0683,56.5158,240285
351.1535,59.416,240290
352.2695,59.751,240308
352.372,59.6011,240312
353.5764,57.2193,240333
354.2587,57.9867,240339
355.8325,58.0049,240373
356.617,59.0054,240394
358.8552,56.4399,240446
358.8535,58.0732,240447
359.0544,60.2899,240450
1.0629,60.1568,240489
1.3163,58.1901,240495
