SRC_NAME,RAJ2000,DECJ2000,IAUNAME
4FGL_J0357.2-0319,59.3587559,-3.299860875,1eRASS J035725.9-031756
4FGL_J0648.1+1605,102.058207308,16.1157379139,1eRASS J064814.0+160655
4FGL_J0725.5-0504,111.373180283,-5.060408375,1eRASS J072529.5-050337
4FGL_J0725.8-0054,111.460999633,-0.915706380556,1eRASS J072550.6-005457
4FGL_J0920.2-3835,140.05931091308594,-38.58073425292969,1eRASS J092014.2-383451
4FGL_J1308.1-3801,197.04241943359375,-38.02067565917969,1eRASS J130810.2-380115
4FGL_J1310.7-5553,197.68064825,-55.8698692028,1eRASS J131043.4-555212
4FGL_J1329.4-0530,202.36920166015625,-5.526700019836426,1eRASS J132928.6-053134
4FGL_J1823.6-3453,275.910795137,-34.9033441833,1eRASS J182338.7-345412
4FGL_J0521.7+2112,80.4415244333,21.2142921833,1eRASS J052145.8+211252
4FGL_J0600.3+1244,90.0624860167,12.7286611917,1eRASS J060014.8+124340
4FGL_J0620.7+2643,95.1669141083,26.7255273194,1eRASS J062040.1+264330
4FGL_J0648.7+1516,102.198535692,15.2735548389,1eRASS J064847.6+151622
4FGL_J0721.3-0222,110.30791473388672,-2.3486111164093018,1eRASS J072113.8-022054
4FGL_J0723.0-0732,110.748680362,-7.52633681667,1eRASS J072259.5-073133
4FGL_J0809.6+3455,122.412028117,34.9270181222,1eRASS J080938.9+345539
4FGL_J0825.9-2230,126.50655385,-22.5075564028,1eRASS J082601.4-223025
4FGL_J0828.7-2422,127.174043321,-24.3141555278,1eRASS J082841.6-241850
4FGL_J0841.3-3554,130.340138304,-35.9183245444,1eRASS J084121.5-355505
4FGL_J1558.9-6432,239.709518125,-64.5415659528,1eRASS J155850.5-643231
4FGL_J1145.7-6949,176.473434013,-69.9004993444,1eRASS J114553.8-695402
5BZB_J0127-8108,21.7925,-81.13907777777779,1eRASS J012710.5-810819
5BZQ_J0322-5205,50.53425,-52.09305833333334,1eRASS J032208.2-520533
5BZU_J0407-1211,61.95175,-12.193527777777778,1eRASS J040748.4-121136
5BZQ_J0421-4818,65.3645,-48.30143888888889,1eRASS J042127.4-481804
