name,ra,dec,major,minor,angle
FL16Y J0331.1-0920,52.7984,-9.3433,0.154,0.1289,26.51
FL16Y J0331.4-6155,52.8513,-61.9236,0.0207,0.0177,-11.93
FL16Y J0331.7-4405,52.9362,-44.084,0.0496,0.0483,-63.57
FL16Y J0331.8-7039,52.9685,-70.6657,0.0347,0.0318,-37.83
FL16Y J0332.0+6308,53.0038,63.1374,0.0189,0.017,51.15
FL16Y J0332.1-1737,53.0385,-17.6217,0.1244,0.1009,-31.67
FL16Y J0332.3+8227,53.0995,82.4606,0.0272,0.0244,-29.17
FL16Y J0332.4-1122,53.1042,-11.3748,0.0698,0.0616,60.77
FL16Y J0332.8+1557,53.2052,15.9504,0.0808,0.0612,22.71
FL16Y J0332.9-3620,53.2361,-36.3443,0.0762,0.0591,-12.36
FL16Y J0333.1-3044,53.2856,-30.7374,0.0534,0.0472,38.59
FL16Y J0333.4+0231,53.3524,2.5214,0.0521,0.0493,50.95
FL16Y J0333.5-2709,53.3787,-27.1533,0.0364,0.0347,-67.21
FL16Y J0333.7-0234,53.434,-2.5796,0.0979,0.0628,14.36
FL16Y J0333.7+7850,53.4451,78.8469,0.0146,0.0139,-15.1
FL16Y J0333.8+2916,53.4573,29.2758,0.0144,0.0135,-28.12
FL16Y J0333.8+4006,53.4624,40.1032,0.0385,0.0309,9.61
FL16Y J0333.9+6537,53.4835,65.6177,0.0132,0.013,-13.41
FL16Y J0334.2-4008,53.5513,-40.1397,0.012,0.0118,-75.14
FL16Y J0334.2+4821,53.5565,48.3565,0.1004,0.0735,-31.38
FL16Y J0334.2-3726,53.5629,-37.4344,0.0122,0.0121,54.55
FL16Y J0334.3+3920,53.5805,39.3354,0.0315,0.0305,76.69
FL16Y J0335.1-4500,53.7941,-45.0031,0.0209,0.0197,18.23
FL16Y J0335.3-6909,53.8444,-69.1551,0.24,0.24,0.0
FL16Y J0335.6-0726,53.9185,-7.4455,0.0574,0.0554,51.41
FL16Y J0335.8+2732,53.9624,27.5382,0.0526,0.0457,-18.14
FL16Y J0336.1+7502,54.0451,75.0462,0.0183,0.0183,0.44
FL16Y J0336.5-0347,54.1254,-3.7964,0.0387,0.0279,76.92
FL16Y J0336.6+3219,54.1561,32.3264,0.0597,0.0538,-6.45
FL16Y J0336.6-1302,54.1596,-13.0401,0.1013,0.0756,-34.08
FL16Y J0336.9-3613,54.2461,-36.2231,0.0921,0.0801,27.83
FL16Y J0337.7+2423,54.4252,24.3867,0.0674,0.06,-63.1
FL16Y J0337.8-1157,54.4736,-11.9627,0.118,0.1094,88.36
FL16Y J0337.9+4059,54.4752,40.9948,0.0662,0.0529,88.51
FL16Y J0338.1-2443,54.5393,-24.7291,0.056,0.0423,-43.64
FL16Y J0338.5+1302,54.629,13.0344,0.0146,0.0137,73.91
FL16Y J0338.7-5705,54.6907,-57.0946,0.0435,0.0402,-42.19
FL16Y J0338.7-5322,54.6943,-53.3812,0.0706,0.0471,-23.64
FL16Y J0338.9-2846,54.7435,-28.7674,0.0212,0.0204,18.7
FL16Y J0339.2-1735,54.81,-17.5975,0.0201,0.0188,78.88
FL16Y J0339.5-0146,54.8822,-1.775,0.0121,0.0119,-85.13
FL16Y J0340.4+4130,55.1039,41.5122,0.0138,0.0131,81.15
FL16Y J0340.4-2423,55.1058,-24.3836,0.0515,0.041,62.98
FL16Y J0340.4+5258,55.1205,52.9771,0.0619,0.0596,62.09
FL16Y J0340.5-0255,55.1359,-2.9246,0.0461,0.0414,49.26
FL16Y J0340.5-2119,55.1421,-21.3228,0.0197,0.0188,-6.13
FL16Y J0341.5+3137,55.3892,31.632,0.0923,0.0765,4.89
FL16Y J0342.1+6929,55.5366,69.4918,0.0416,0.0403,46.18
FL16Y J0342.2+3857,55.5623,38.9586,0.0383,0.037,81.49
FL16Y J0342.2+1319,55.5738,13.3207,0.1438,0.1092,88.23
FL16Y J0342.7-3006,55.6878,-30.1141,0.0647,0.0594,-23.09
FL16Y J0342.8+3158,55.7198,31.9675,0.0936,0.0651,38.28
FL16Y J0343.0-3704,55.7621,-37.0784,0.056,0.0462,77.54
FL16Y J0343.3-6443,55.8285,-64.7246,0.0224,0.02,37.74
FL16Y J0343.3-2530,55.8316,-25.5148,0.0554,0.0543,-46.24
FL16Y J0343.4+3622,55.8587,36.3773,0.0362,0.0329,-32.08
FL16Y J0343.5-6303,55.8801,-63.0522,0.0343,0.0332,29.88
FL16Y J0343.8-1350,55.9586,-13.8354,0.1493,0.1237,32.29
FL16Y J0344.4+3431,56.1226,34.5274,0.0382,0.0354,-60.73
FL16Y J0345.0+3201,56.2691,32.0237,0.1045,0.0971,-60.06
FL16Y J0345.2-2352,56.3189,-23.8827,0.0305,0.0255,78.92
FL16Y J0345.3+4735,56.331,47.5908,0.0549,0.0485,2.52
FL16Y J0345.4-3257,56.3644,-32.9629,0.0877,0.078,-10.43
FL16Y J0345.9+0343,56.4966,3.7294,0.079,0.0618,-52.38
FL16Y J0346.1+3235,56.5489,32.5963,0.0703,0.0647,-7.05
FL16Y J0346.6+3828,56.6536,38.4696,0.0883,0.0675,-36.59
FL16Y J0346.9-6400,56.7443,-64.0061,0.0558,0.0518,15.27
FL16Y J0347.1+4842,56.7758,48.7141,0.0891,0.0791,-0.15
FL16Y J0347.5-0132,56.8881,-1.5354,0.0866,0.0688,16.52
FL16Y J0347.6+0723,56.9068,7.385,0.0406,0.0352,83.43
FL16Y J0347.8-3617,56.9666,-36.2958,0.0379,0.0342,12.84
FL16Y J0348.2+6034,57.0734,60.5797,0.0339,0.031,87.14
FL16Y J0348.3+4609,57.0981,46.1587,0.1978,0.1748,-46.51
FL16Y J0348.5-1804,57.1305,-18.0715,0.07,0.0556,-54.85
FL16Y J0348.6-2749,57.1548,-27.8218,0.0089,0.0088,85.26
FL16Y J0348.6-1610,57.1569,-16.1715,0.0319,0.0308,83.89
FL16Y J0349.0-0826,57.2525,-8.4416,0.1342,0.1126,-38.87
FL16Y J0349.0-4858,57.2615,-48.9823,0.084,0.0639,53.76
FL16Y J0349.3-1159,57.3453,-11.9883,0.0207,0.0198,46.3
FL16Y J0349.3+2412,57.3494,24.2108,0.3349,0.1958,13.59
FL16Y J0349.5+4026,57.396,40.4366,0.0801,0.0756,-23.16
FL16Y J0349.8-2103,57.4668,-21.0558,0.0269,0.0258,40.22
FL16Y J0349.9+0641,57.4823,6.6923,0.0405,0.0347,-59.58
FL16Y J0350.4-5144,57.6178,-51.7402,0.0249,0.0237,81.16
FL16Y J0350.5+4211,57.6401,42.1855,0.0629,0.0569,-74.4
FL16Y J0350.7-3230,57.6775,-32.5054,0.1259,0.1002,4.62
FL16Y J0350.8-2815,57.7074,-28.2547,0.0453,0.0355,21.06
FL16Y J0351.0-6102,57.7682,-61.0366,0.0472,0.0453,-1.72
FL16Y J0351.1-1950,57.7756,-19.8435,0.0804,0.0662,19.94
FL16Y J0351.4-2353,57.8686,-23.8841,0.0642,0.0547,-71.51
FL16Y J0351.6+2921,57.9172,29.358,0.1307,0.1307,0.0
FL16Y J0351.7-2516,57.9333,-25.2765,0.1124,0.0847,81.46
FL16Y J0352.0-3702,58.0056,-37.046,0.0603,0.049,-69.44
FL16Y J0352.9-3622,58.2487,-36.3814,0.0378,0.0323,-32.95
FL16Y J0353.0-6831,58.2735,-68.5236,0.0213,0.0193,-33.58
FL16Y J0353.2+5654,58.3117,56.9031,0.0268,0.0242,-84.82
FL16Y J0353.5+8256,58.3785,82.9339,0.0359,0.0297,-3.83
FL16Y J0354.5+4643,58.6368,46.7176,0.0338,0.0306,-72.61
FL16Y J0354.6-1615,58.6627,-16.2534,0.097,0.077,76.81
FL16Y J0354.7+8010,58.6779,80.1729,0.0428,0.038,28.35
FL16Y J0355.1-1842,58.7858,-18.7078,0.0456,0.0365,-78.57
FL16Y J0355.3+3909,58.8442,39.1593,0.0375,0.0336,-60.31
FL16Y J0356.0-1329,59.0219,-13.4945,0.0319,0.028,56.29
FL16Y J0356.6+2202,59.156,22.0336,0.0864,0.0632,-4.25
FL16Y J0356.6+2903,59.1598,29.0542,0.1079,0.0713,-26.05
FL16Y J0356.9+3013,59.2425,30.2169,0.1011,0.0881,-59.18
FL16Y J0357.0-4955,59.2514,-49.9328,0.0207,0.0196,28.02
FL16Y J0357.2+2320,59.3242,23.3347,0.061,0.0521,-53.33
FL16Y J0357.3-0319,59.3445,-3.3215,0.0309,0.0298,12.72
FL16Y J0357.5-4625,59.3974,-46.4309,0.0635,0.0548,44.88
FL16Y J0357.6-6808,59.4185,-68.1374,0.0388,0.0364,52.03
FL16Y J0357.8+3205,59.4672,32.0872,0.0124,0.0123,13.63
FL16Y J0357.9-6948,59.4883,-69.8047,0.0324,0.0321,-60.2
FL16Y J0358.1-5953,59.5462,-59.8952,0.0423,0.0364,26.09
FL16Y J0358.4+5912,59.62,59.2156,0.221,0.1656,89.71
FL16Y J0358.4-5446,59.6231,-54.7781,,,
FL16Y J0358.5+7650,59.63,76.8336,0.0459,0.0358,-56.65
FL16Y J0358.5+0631,59.6446,6.5269,0.1714,0.0815,30.54
FL16Y J0358.6-7403,59.6506,-74.0653,0.0688,0.0674,13.61
FL16Y J0358.9-3053,59.7489,-30.8906,0.0363,0.0294,-61.6
FL16Y J0359.1+3719,59.7909,37.3253,0.1717,0.1485,-88.01
FL16Y J0359.1+3625,59.7984,36.4264,0.1195,0.1128,-19.4
FL16Y J0359.3+6005,59.8326,60.0872,0.07,0.0636,-84.23
FL16Y J0359.3-0235,59.8488,-2.5949,0.0453,0.043,-80.77
FL16Y J0359.4+5415,59.8716,54.2537,0.0258,0.0249,-46.45
FL16Y J0359.5-2617,59.8824,-26.291,0.0402,0.0382,56.46
FL16Y J0359.5+5057,59.8899,50.9663,0.0304,0.0277,-52.89
FL16Y J0359.8+2804,59.953,28.069,0.1641,0.1497,-83.33
FL16Y J0359.9+4444,59.9874,44.7449,0.0569,0.047,-78.95
FL16Y J0400.7+3921,60.1964,39.3581,0.0535,0.0407,-1.75
FL16Y J0400.9+8152,60.2477,81.8764,0.0652,0.0524,17.65
FL16Y J0401.1-5354,60.2796,-53.9107,0.048,0.0398,-7.93
FL16Y J0401.2+0412,60.3239,4.2094,0.0685,0.0603,34.13
FL16Y J0401.7+2111,60.4481,21.1902,0.0258,0.0236,51.11
FL16Y J0401.8-2035,60.4559,-20.5927,0.0205,0.0194,-63.79
FL16Y J0402.0-2616,60.5117,-26.2725,0.033,0.0276,-55.66
FL16Y J0402.1+2737,60.532,27.6214,0.0518,0.0445,51.85
FL16Y J0402.1-2744,60.5407,-27.7497,0.1773,0.1103,-88.32
FL16Y J0402.2+6500,60.5729,65.0014,0.2233,0.1473,-40.28
FL16Y J0402.2-3148,60.574,-31.8006,0.0455,0.0413,-9.06
FL16Y J0402.5+2615,60.6468,26.2665,0.3465,0.13,-49.47
FL16Y J0402.9+6434,60.7352,64.5708,0.0288,0.0261,-36.6
FL16Y J0403.2-2429,60.8145,-24.4876,0.0648,0.0474,-18.98
FL16Y J0403.8-2444,60.9627,-24.7423,0.07,0.0618,-20.69
FL16Y J0403.8-3605,60.9703,-36.0886,0.0118,0.0117,22.11
FL16Y J0404.2-1716,61.0602,-17.2736,0.055,0.0461,-60.65
FL16Y J0405.5-1307,61.3994,-13.1325,0.033,0.0256,-42.94
FL16Y J0405.6-6929,61.4089,-69.4913,0.0478,0.046,-60.52
FL16Y J0405.9+3041,61.4972,30.6852,0.0766,0.0743,-58.74
FL16Y J0406.1-5406,61.5298,-54.1016,0.0471,0.0402,69.92
FL16Y J0406.2+0638,61.5523,6.6437,0.0585,0.0568,42.15
FL16Y J0406.9-3826,61.7497,-38.4424,0.0138,0.0135,59.94
FL16Y J0407.4+0741,61.8747,7.6995,0.0261,0.0238,16.49
FL16Y J0407.6-5705,61.9191,-57.0876,0.1008,0.087,3.18
FL16Y J0409.2+2543,62.3086,25.7203,0.0386,0.0367,-22.34
FL16Y J0409.2+0210,62.3103,2.17,0.0824,0.074,34.64
FL16Y J0409.3-3820,62.3346,-38.343,0.0432,0.0417,-18.75
FL16Y J0409.4+3202,62.3727,32.044,0.0386,0.0325,-57.68
FL16Y J0409.8-0359,62.4632,-3.9944,0.0325,0.0305,-68.63
FL16Y J0410.1+4006,62.5362,40.1022,0.1635,0.1313,-55.24
FL16Y J0411.0+4216,62.7525,42.2707,0.0324,0.0313,-57.21
FL16Y J0412.4+0239,63.1007,2.6538,0.0473,0.0392,0.24
FL16Y J0412.5-5434,63.1432,-54.5797,0.0491,0.0484,9.84
FL16Y J0412.6+2254,63.1729,22.9132,0.1455,0.1129,67.39
FL16Y J0412.8-3927,63.2011,-39.4625,0.0493,0.0458,45.8
FL16Y J0413.1-5333,63.2991,-53.5511,0.0487,0.0416,-34.08
FL16Y J0413.4-0305,63.3603,-3.0904,0.0989,0.0798,84.12
FL16Y J0414.2+4523,63.5575,45.388,0.0633,0.0615,-30.09
FL16Y J0414.4+6518,63.6209,65.3098,0.311,0.2233,66.57
FL16Y J0414.5-0843,63.6439,-8.732,0.0827,0.078,26.61
FL16Y J0414.6-4300,63.6655,-43.0077,0.0468,0.0434,-85.89
FL16Y J0414.8-5339,63.7142,-53.6577,0.0327,0.0274,83.9
FL16Y J0414.9+5711,63.731,57.1853,0.0427,0.0381,-83.92
FL16Y J0415.2-8610,63.8152,-86.171,0.0745,0.06,-30.37
FL16Y J0416.0-6628,64.0075,-66.4751,0.0372,0.032,87.47
FL16Y J0416.1-2100,64.0457,-21.0086,0.1159,0.1076,-41.13
FL16Y J0416.2-4350,64.0709,-43.8492,0.0737,0.0603,-16.26
FL16Y J0416.4+1928,64.1222,19.4782,0.5286,0.2592,-2.8
FL16Y J0416.5-1851,64.1349,-18.8659,0.0301,0.0297,-32.25
FL16Y J0416.8+0105,64.2227,1.0891,0.0196,0.0173,-89.57
FL16Y J0417.9-0251,64.4939,-2.8584,0.0276,0.027,-0.63
FL16Y J0418.1+3808,64.5322,38.1443,0.1375,0.1059,-55.87
FL16Y J0418.1+3411,64.5407,34.191,0.1015,0.0713,88.5
FL16Y J0418.4-4342,64.6194,-43.7102,0.0463,0.0444,-9.38
FL16Y J0418.8+6635,64.7193,66.5988,0.0185,0.0177,3.26
FL16Y J0420.1-0405,65.0348,-4.0867,0.0647,0.0541,87.77
FL16Y J0420.1-6015,65.0369,-60.2657,0.0362,0.0301,13.69
FL16Y J0420.2+4013,65.0604,40.221,0.0345,0.0269,-36.77
FL16Y J0420.3-3744,65.0966,-37.7444,0.0199,0.0195,25.36
FL16Y J0420.6-4608,65.1728,-46.1383,0.1131,0.0787,-0.06
FL16Y J0420.7-4759,65.182,-47.9979,0.07,0.0641,-25.47
FL16Y J0420.9-0753,65.2493,-7.8926,0.1014,0.0908,29.56
FL16Y J0421.5-0627,65.3919,-6.4584,0.0759,0.0553,-24.45
FL16Y J0422.1-0644,65.5349,-6.7371,0.0322,0.0312,60.7
FL16Y J0422.2+1951,65.5691,19.8631,0.0399,0.0317,24.45
FL16Y J0422.7+0224,65.6777,2.403,0.1324,0.1024,1.66
FL16Y J0422.9-0943,65.7476,-9.7203,0.05,0.0466,27.49
FL16Y J0423.0+2107,65.7657,21.1167,0.0462,0.0374,-78.16
FL16Y J0423.2-1408,65.8116,-14.1364,0.0519,0.0377,57.53
FL16Y J0423.2-0120,65.8179,-1.3359,0.0145,0.0142,10.29
FL16Y J0423.7+0831,65.9281,8.526,0.0556,0.0505,-1.75
FL16Y J0423.9+4150,65.9854,41.8396,0.0114,0.0112,-82.42
FL16Y J0424.7+0035,66.1971,0.5956,0.0176,0.0167,-59.56
FL16Y J0425.0-5332,66.2568,-53.5409,0.0236,0.0227,-15.32
FL16Y J0425.1+4918,66.2858,49.314,0.0497,0.0385,18.86
FL16Y J0425.4+6319,66.3596,63.3304,0.0216,0.0194,75.88
FL16Y J0425.6+5522e,66.425,55.371,,,
FL16Y J0425.9+3021,66.4953,30.3647,0.3239,0.2242,-40.77
FL16Y J0426.5+5435,66.6339,54.5834,0.0369,0.0355,68.7
FL16Y J0426.5+0517,66.6348,5.2941,0.0689,0.0496,12.12
FL16Y J0426.7+6827,66.6814,68.4534,0.0238,0.0222,-19.56
FL16Y J0427.3-3900,66.8434,-39.0105,0.041,0.0347,5.84
FL16Y J0427.4-1831,66.8711,-18.5245,0.0975,0.0659,-41.79
FL16Y J0427.7-6704,66.9363,-67.0713,0.0252,0.0225,32.01
FL16Y J0428.0+3639,67.0005,36.6629,0.199,0.1183,-15.78
FL16Y J0428.6-5004,67.1588,-50.0804,0.1127,0.0958,-7.33
FL16Y J0428.6-3756,67.1688,-37.9397,0.0088,0.0087,42.49
FL16Y J0429.0-3236,67.2732,-32.6095,0.0456,0.0398,4.49
FL16Y J0429.4-4329,67.3503,-43.4994,0.057,0.0546,18.08
FL16Y J0429.8+2843,67.4643,28.7193,0.0231,0.0208,-17.19
FL16Y J0429.9-3100,67.4842,-31.0058,0.0257,0.0232,-35.4
FL16Y J0430.3-2508,67.5781,-25.136,0.029,0.0261,-47.6
FL16Y J0430.4+1655,67.6016,16.9212,0.0314,0.0305,87.06
FL16Y J0431.1+4433,67.7756,44.5572,0.0411,0.0375,55.48
FL16Y J0431.1+3526,67.7811,35.4436,0.1885,0.1195,-9.57
FL16Y J0431.2-0400,67.814,-4.013,0.1018,0.0827,12.8
FL16Y J0431.8+7403,67.9534,74.0549,0.0186,0.0177,31.9
FL16Y J0431.8+1732,67.9559,17.5343,0.0932,0.0712,-89.42
FL16Y J0433.0+1326,68.26,13.4384,0.0686,0.0576,34.78
FL16Y J0433.1+0521,68.2965,5.3517,0.0488,0.0454,89.53
FL16Y J0433.1+3228,68.2982,32.4712,0.0234,0.0208,25.76
FL16Y J0433.1-0717,68.2997,-7.2861,0.0733,0.0667,-27.23
FL16Y J0433.5-6030,68.3849,-60.511,0.0214,0.0206,-42.14
FL16Y J0433.5-1044,68.3916,-10.7408,0.089,0.0793,-9.91
FL16Y J0433.6+2905,68.4122,29.0996,0.0122,0.0121,-83.62
FL16Y J0433.7-5726,68.4258,-57.4365,0.0248,0.0234,48.99
FL16Y J0434.1-2014,68.5389,-20.2459,0.0496,0.0418,-26.66
FL16Y J0434.3-2339,68.598,-23.6656,0.0677,0.061,18.61
FL16Y J0434.4-2514,68.6083,-25.2395,0.0855,0.0751,70.78
FL16Y J0434.7+0923,68.6887,9.3908,0.0231,0.0228,-72.28
FL16Y J0435.3-1506,68.8287,-15.1133,0.0912,0.084,-59.0
FL16Y J0435.3-2621,68.8322,-26.363,0.0537,0.0456,-18.22
FL16Y J0435.6+3232,68.9128,32.5473,0.0451,0.0399,-83.61
FL16Y J0436.3-0035,69.0842,-0.5883,0.1013,0.0658,16.99
FL16Y J0436.7-5220,69.1857,-52.3421,0.0597,0.0556,88.04
FL16Y J0436.8-7148,69.2135,-71.8005,0.0436,0.0387,-88.89
FL16Y J0436.9+2915,69.248,29.2525,0.0361,0.0344,88.73
FL16Y J0437.3-4715,69.3296,-47.2596,0.0188,0.0185,-69.96
FL16Y J0437.3-6157,69.3417,-61.9545,0.0385,0.0311,-39.14
FL16Y J0437.6-8323,69.422,-83.3859,0.062,0.0522,7.87
FL16Y J0437.7-5852,69.4446,-58.8751,0.3739,0.2039,-26.53
FL16Y J0438.3-4243,69.5987,-42.7207,0.0705,0.0551,-56.26
FL16Y J0438.4-1253,69.6108,-12.8955,0.0794,0.0741,-20.08
FL16Y J0438.6-7329,69.651,-73.4946,0.0255,0.0229,-33.08
FL16Y J0438.7-3440,69.6798,-34.6789,0.0581,0.048,-72.68
FL16Y J0439.0-4521,69.7631,-45.3664,0.0232,0.0225,-74.98
FL16Y J0439.3-7422,69.839,-74.3734,0.1235,0.0903,-89.68
FL16Y J0439.4+2150,69.8579,21.841,0.1235,0.0811,-66.54
FL16Y J0439.5-3202,69.8753,-32.0338,0.0371,0.0315,39.71
FL16Y J0439.8-1900,69.9579,-19.0166,0.0237,0.0232,31.63
FL16Y J0439.9-0535,69.9868,-5.5843,0.0891,0.0743,-61.16
FL16Y J0440.1+4245,70.04,42.7666,0.0791,0.0676,-44.32
FL16Y J0440.2-2458,70.0618,-24.9808,0.0317,0.028,1.16
FL16Y J0440.3-4332,70.0911,-43.544,0.0178,0.0173,-43.93
FL16Y J0440.4+1440,70.1225,14.6756,0.0562,0.0454,79.68
FL16Y J0440.9+2750,70.2355,27.8339,0.0221,0.0215,-5.77
FL16Y J0441.2-2952,70.309,-29.8833,0.0866,0.0676,-81.53
FL16Y J0441.2+5058,70.3142,50.9668,0.2234,0.1795,-70.7
FL16Y J0441.4+1505,70.3554,15.0918,0.0314,0.0302,86.95
FL16Y J0441.4+0410,70.375,4.1759,0.1173,0.0875,-23.71
FL16Y J0441.8+1142,70.4564,11.7134,0.151,0.1245,-85.49
FL16Y J0442.0+2602,70.5102,26.0351,0.107,0.1037,-10.35
FL16Y J0442.0-5432,70.5245,-54.5482,0.0652,0.0588,-18.32
FL16Y J0442.1+2856,70.5293,28.9424,0.1467,0.137,14.85
FL16Y J0442.6-0017,70.659,-0.2851,0.0148,0.0146,80.74
FL16Y J0442.7+3609,70.6779,36.151,0.0871,0.0799,38.97
FL16Y J0442.7+6141,70.6909,61.6874,0.02,0.0186,-62.17
FL16Y J0443.3-4151,70.8454,-41.8658,0.0402,0.0351,70.77
FL16Y J0443.5-6652,70.8873,-66.8675,0.0422,0.0406,-48.02
FL16Y J0444.2+1624,71.0701,16.412,0.1335,0.1002,-63.81
FL16Y J0444.6+3425,71.1604,34.4199,0.031,0.026,-62.4
FL16Y J0445.0+0715,71.2632,7.2511,0.0628,0.051,-47.06
FL16Y J0445.0-6013,71.2641,-60.2168,0.0488,0.0414,87.41
FL16Y J0445.2-3528,71.315,-35.4701,0.0672,0.0659,-86.52
FL16Y J0446.3-1729,71.5819,-17.4846,0.1092,0.0814,19.39
FL16Y J0447.1+2446,71.797,24.7791,0.0743,0.0581,-60.16
FL16Y J0447.2-2538,71.8246,-25.6449,0.0461,0.0433,-46.39
FL16Y J0447.9-2751,71.9933,-27.8509,0.1866,0.1268,-78.48
FL16Y J0448.1+2745,72.0319,27.7649,0.1666,0.1167,-4.78
FL16Y J0448.5-1632,72.147,-16.5389,0.0183,0.0168,53.77
FL16Y J0448.8-2114,72.2042,-21.2451,0.1251,0.1142,-33.67
FL16Y J0449.0+1121,72.2663,11.3635,0.0192,0.0188,-49.97
FL16Y J0449.0-2623,72.269,-26.3842,0.2211,0.198,-36.18
FL16Y J0449.3+3026,72.3308,30.4418,0.164,0.1274,-80.2
FL16Y J0449.4-4350,72.3526,-43.836,0.0087,0.0086,-33.58
FL16Y J0449.4+6331,72.3549,63.5303,0.0197,0.0187,62.11
FL16Y J0449.9-3238,72.4859,-32.6418,0.0676,0.0633,24.86
FL16Y J0449.9-8100,72.4914,-81.0116,0.0412,0.0366,-79.0
FL16Y J0450.2-4419,72.5572,-44.3238,0.0643,0.0585,-61.06
FL16Y J0450.5-4937,72.648,-49.6218,0.0763,0.0579,20.47
FL16Y J0450.7+0715,72.6809,7.2583,0.0644,0.0544,48.44
FL16Y J0450.8-2328,72.7068,-23.4671,0.1362,0.0946,28.76
FL16Y J0450.8+7230,72.7163,72.5057,0.0474,0.0376,70.87
FL16Y J0451.8+5721,72.9583,57.3566,0.0267,0.0256,26.99
FL16Y J0451.9-4651,72.9804,-46.8647,0.0471,0.0442,51.12
FL16Y J0453.1-2806,73.2954,-28.11,0.0231,0.0222,-29.81
FL16Y J0453.1+6322,73.2958,63.3728,0.0269,0.0251,-16.56
FL16Y J0453.4-1234,73.3666,-12.5687,0.127,0.0998,80.36
FL16Y J0453.5+2850,73.3851,28.8351,0.0482,0.0462,40.14
FL16Y J0453.5+5118,73.3855,51.3103,0.1936,0.1358,69.75
FL16Y J0453.6-3018,73.4083,-30.309,0.0564,0.0518,45.38
FL16Y J0454.5+5944,73.6483,59.7433,0.168,0.133,70.26
FL16Y J0454.6-1740,73.6703,-17.6668,0.0784,0.067,47.84
FL16Y J0455.8-4616,73.9576,-46.2779,0.0234,0.0224,-84.64
FL16Y J0455.8+6758,73.9703,67.9751,0.0475,0.0429,-88.98
FL16Y J0456.2+2702,74.0614,27.0382,0.0522,0.0453,13.84
FL16Y J0456.2-1635,74.0722,-16.5889,0.0368,0.0344,-39.94
FL16Y J0456.4-4043,74.1032,-40.7229,0.0737,0.0648,24.42
FL16Y J0456.6-3136,74.1648,-31.6003,0.0294,0.0286,-63.5
FL16Y J0457.0+0647,74.2572,6.7861,0.0507,0.0483,10.53
FL16Y J0457.0-2324,74.2573,-23.4158,0.009,0.0089,-53.36
FL16Y J0458.0+1151,74.5094,11.866,0.0371,0.0314,-40.74
FL16Y J0458.1+6244,74.535,62.7355,0.0751,0.0531,-86.85
FL16Y J0459.0+5511,74.7533,55.1899,0.0725,0.0599,52.2
FL16Y J0459.2-2613,74.8147,-26.2184,0.0972,0.0795,-72.73
FL16Y J0459.4-4528,74.8672,-45.4817,0.0725,0.0523,-54.4
FL16Y J0459.5+1921,74.885,19.352,0.0545,0.045,-89.74
FL16Y J0459.6-5414,74.9131,-54.2377,0.0464,0.0417,22.26
FL16Y J0459.7+5442,74.9411,54.7024,0.1107,0.065,26.05
FL16Y J0500.3+4639e,75.08,46.66,,,
FL16Y J0500.3+5237,75.0807,52.6328,0.021,0.0181,22.22
FL16Y J0500.4-5322,75.1027,-53.3725,0.1214,0.098,34.87
FL16Y J0500.6-4911,75.1578,-49.1987,0.0256,0.0231,42.07
FL16Y J0500.8+5216,75.207,52.2787,0.1204,0.1112,-49.09
FL16Y J0500.9-6945e,75.25,-69.75,,,
FL16Y J0501.0-2423,75.2581,-24.3921,0.1275,0.1089,87.33
FL16Y J0501.1+2423,75.2806,24.3994,0.0315,0.0287,-42.15
FL16Y J0501.1-0158,75.2987,-1.9711,0.013,0.0128,-19.42
FL16Y J0501.7+3048,75.4339,30.806,0.0329,0.0275,75.24
FL16Y J0501.8+4501,75.4585,45.0198,0.085,0.0662,22.62
FL16Y J0502.2+3017,75.5534,30.2886,0.0436,0.0414,37.06
FL16Y J0502.3+0608,75.5844,6.1483,0.079,0.0572,-65.77
FL16Y J0502.4+3437,75.6213,34.6248,0.0325,0.0321,46.45
FL16Y J0502.5+1338,75.6427,13.6431,0.0485,0.0405,-74.52
FL16Y J0502.6+0036,75.657,0.6105,0.0569,0.0513,-80.18
FL16Y J0502.8+6531,75.7001,65.531,0.0386,0.0354,-86.91
FL16Y J0503.6-1115,75.9168,-11.2603,0.0356,0.0315,-38.52
FL16Y J0503.7-6051,75.9266,-60.8561,0.0551,0.0476,-46.84
FL16Y J0503.7+4518,75.928,45.3017,0.0356,0.0328,47.67
FL16Y J0504.4-0956,76.1006,-9.9459,0.0556,0.0476,25.14
FL16Y J0504.4-1510,76.1024,-15.1773,0.0631,0.0504,-11.69
FL16Y J0504.6+1747,76.1708,17.789,0.1881,0.1705,-81.7
FL16Y J0505.3+0459,76.3407,4.9997,0.0137,0.0135,-37.48
FL16Y J0505.5+0416,76.397,4.2713,0.0218,0.0205,86.94
FL16Y J0505.6-1558,76.4155,-15.9726,0.0346,0.0313,4.14
FL16Y J0505.7+3321,76.4308,33.3532,0.0572,0.0465,43.37
FL16Y J0505.7-1923,76.4471,-19.3924,0.0741,0.0652,-62.77
FL16Y J0505.8+6405,76.4536,64.0836,0.0488,0.0434,-83.51
FL16Y J0505.8-0418,76.4578,-4.308,0.034,0.031,66.36
FL16Y J0506.0-3821,76.5062,-38.3555,0.0376,0.0308,37.62
FL16Y J0506.0+6113,76.5158,61.227,0.0208,0.0184,45.63
FL16Y J0506.0-0357,76.518,-3.9608,0.0619,0.0548,-40.4
FL16Y J0506.1+5029,76.5283,50.4837,0.0395,0.035,69.78
