name,ra,dec,major,minor,angle
FL16Y J0014.8+6118,3.7052,61.3017,0.028,0.0278,74.12
FL16Y J0015.1+3213,3.7802,32.2257,0.0603,0.0522,42.03
FL16Y J0015.3+3536,3.841,35.6086,0.0413,0.0325,75.71
FL16Y J0015.6+5551,3.9205,55.8663,0.0225,0.0193,73.99
FL16Y J0015.9+2441,3.9872,24.6927,0.0368,0.0338,42.63
FL16Y J0016.2-0017,4.0574,-0.2952,0.0673,0.0609,5.73
FL16Y J0017.0-4606,4.2538,-46.1147,0.172,0.1462,67.88
FL16Y J0017.0+1656,4.2575,16.9443,0.0902,0.0835,88.0
FL16Y J0017.0-0651,4.2745,-6.8601,0.0352,0.0285,83.67
FL16Y J0017.2+6507,4.3214,65.1176,0.085,0.0603,-50.07
FL16Y J0017.5-0512,4.3957,-5.2091,0.0312,0.028,4.04
FL16Y J0017.7+1451,4.4425,14.8632,0.0749,0.0554,-8.16
FL16Y J0018.5+2947,4.6262,29.7951,0.0277,0.0235,-31.98
FL16Y J0018.9+5111,4.7484,51.196,0.1682,0.1364,-13.76
FL16Y J0019.2-3042,4.8091,-30.7096,0.3422,0.2691,58.87
FL16Y J0019.3-8152,4.8299,-81.8698,0.0216,0.0209,-65.04
FL16Y J0019.3-5641,4.847,-56.692,0.0295,0.0272,-79.4
FL16Y J0019.4+2606,4.8709,26.1049,0.1081,0.1015,-73.27
FL16Y J0019.6+2020,4.9063,20.3495,0.0382,0.0357,-60.81
FL16Y J0019.6+7327,4.9156,73.4609,0.0373,0.0353,-17.24
FL16Y J0020.9+0322,5.2371,3.3809,0.0389,0.0319,-32.49
FL16Y J0021.3-5917,5.3336,-59.2963,0.0448,0.039,-70.89
FL16Y J0021.5-2551,5.3991,-25.8611,0.0222,0.021,65.26
FL16Y J0021.6-2220,5.4224,-22.3444,0.229,0.1454,43.15
FL16Y J0021.7-0859,5.4409,-8.9874,0.0463,0.0411,-60.24
FL16Y J0021.7+4531,5.4464,45.5238,0.0971,0.0817,-23.04
FL16Y J0022.0-5140,5.5019,-51.6701,0.0212,0.0187,80.8
FL16Y J0022.0+0007,5.5218,0.1198,0.0378,0.0321,11.35
FL16Y J0022.1-1854,5.5349,-18.9124,0.0187,0.0177,12.57
FL16Y J0022.4+6909,5.6188,69.1656,0.1044,0.084,-52.14
FL16Y J0022.5+0607,5.6326,6.1324,0.0158,0.0148,-26.43
FL16Y J0023.0+8420,5.7557,84.3396,0.0603,0.0567,-16.93
FL16Y J0023.3-5927,5.8261,-59.4578,0.085,0.0653,-62.74
FL16Y J0023.3+0922,5.8333,9.3773,0.029,0.0279,-40.63
FL16Y J0023.5-4209,5.8988,-42.1572,0.1549,0.0953,-59.68
FL16Y J0023.6+4456,5.9014,44.9481,0.0337,0.0277,-76.5
FL16Y J0023.8+1602,5.9742,16.0499,0.0556,0.0502,-76.02
FL16Y J0024.0-7204,6.0015,-72.078,0.0122,0.012,88.77
FL16Y J0024.1-6819,6.0358,-68.3264,0.0933,0.0755,55.06
FL16Y J0024.1+2403,6.044,24.0607,0.0473,0.0406,-48.18
FL16Y J0024.2+7909,6.057,79.1523,0.0363,0.0329,37.39
FL16Y J0024.5+4646,6.1342,46.7672,0.2898,0.1303,-16.16
FL16Y J0024.6-0810,6.1585,-8.1785,0.2014,0.1541,71.44
FL16Y J0024.9+0349,6.2424,3.8203,0.0919,0.0775,-74.92
FL16Y J0025.0-2320,6.2745,-23.3405,0.1246,0.1019,-9.85
FL16Y J0025.2-2229,6.3189,-22.4854,0.0757,0.0593,-20.07
FL16Y J0025.3+6409,6.3387,64.1569,0.0383,0.0367,56.47
FL16Y J0025.5-3523,6.3812,-35.3866,0.3028,0.1737,6.3
FL16Y J0025.6-4839,6.4114,-48.6508,0.0671,0.06,22.75
FL16Y J0025.8-4801,6.4514,-48.0195,0.0539,0.0481,-71.97
FL16Y J0025.9-1936,6.4983,-19.6112,0.0799,0.058,77.57
FL16Y J0026.1-0732,6.5403,-7.5408,0.0366,0.0326,53.86
FL16Y J0026.2+3926,6.5637,39.4345,0.2004,0.146,22.32
FL16Y J0026.6-4600,6.6501,-46.0153,0.0316,0.0279,19.64
FL16Y J0027.0-1135,6.7639,-11.5974,0.0502,0.0452,-69.71
FL16Y J0027.7-3123,6.9337,-31.3987,0.0386,0.0365,72.89
FL16Y J0028.2+7505,7.0632,75.0898,0.0284,0.0282,-87.3
FL16Y J0028.5+2000,7.1376,20.009,0.0129,0.0127,-78.53
FL16Y J0028.8-7044,7.2097,-70.7406,0.03,0.0278,52.48
FL16Y J0028.9+3551,7.2274,35.864,0.0484,0.0423,79.18
FL16Y J0028.9-0112,7.2294,-1.2084,0.0667,0.0554,-82.81
