name,ra,dec 
PGC 0045372,196.6035,67.7069
PGC 0045506,197.015,46.828
PGC 0045755,197.7537,35.5022
PGC 0045840,198.0264,5.4757
PGC 0045927,198.3245,36.2142
PGC 0045939,198.3447,46.3203
PGC 0045992,198.4755,42.2088
PGC 0046039,198.6161,45.9199
PGC 0046065,198.7016,34.881
PGC 0046093,198.7833,42.0003
PGC 0046127,198.8745,47.4996
PGC 0046556,200.1344,5.4072
PGC 0046666,200.4725,28.6686
PGC 0047020,201.5575,37.7681
PGC 0047455,202.0816,67.6328
PGC 0047495,202.6847,54.911
PGC 0047658,203.1496,49.8297
PGC 0047853,203.6825,51.6092
PGC 0048053,204.1895,32.0911
PGC 0048072,204.2253,32.095
PGC 0048212,204.6282,8.4425
PGC 0048318,204.9495,31.2902
PGC 0048388,205.1437,55.4291
PGC 0048497,205.4566,47.889
PGC 0048557,205.6361,39.6584
PGC 0048823,206.6231,60.3715
PGC 0049092,207.5054,62.7297
PGC 0049158,207.7113,38.0178
PGC 0049448,208.6907,53.9007
PGC 0049452,208.7022,35.8374
PGC 0049663,209.4215,57.0011
PGC 0049814,209.9115,26.227
PGC 0049896,210.235,41.0071
PGC 0050262,211.3879,54.4611
PGC 0051008,214.2351,55.8644
PGC 0051281,215.3082,36.7434
PGC 0051358,215.636,45.3828
PGC 0051472,216.1804,44.5278
PGC 0051604,216.7942,5.1336
PGC 0052092,218.6617,4.2603
PGC 0052178,218.9517,3.0389
PGC 0052689,221.3396,7.8625
PGC 0052702,221.3858,31.4151
PGC 0053510,224.689,41.766
PGC 0053597,225.1146,1.6225
PGC 0054314,228.2779,56.9693
PGC 0055095,231.6304,41.7251
PGC 0055273,232.6856,47.3188
PGC 0055833,235.5811,0.4753
PGC 0055965,236.4064,4.183
PGC 0055989,236.5411,6.8981
PGC 0056001,236.6017,2.844
PGC 0056210,237.8129,16.3296
PGC 0056386,238.831,45.4272
PGC 0056745,240.4571,18.7209
PGC 0056870,240.8612,19.1605
PGC 0056959,241.1573,30.7143
PGC 0057338,242.4335,-0.1149
PGC 0057522,243.3357,17.1929
PGC 0057906,245.3683,28.6401
PGC 0058049,246.1642,41.0199
PGC 0059310,254.3462,38.6721
PGC 0059862,258.2833,59.325
PGC 0060031,259.523,30.925
PGC 0060080,259.882,28.3315
PGC 0069816,342.4367,15.0894
PGC 0071345,351.0959,-0.1092
PGC 0071538,352.151,14.7429
PGC 0071920,354.2733,-9.5981
PGC 0073177,359.9044,14.8068
