ra,dec,name
204.41571,-12.95686,PKS 1335-127
53.56427,-37.42863,PMN J0334-3725
32.33955,-52.48962,PMN J0209-5229
327.98135,-30.46492,PKS 2149-306
300.23686,-17.81618,PKS 1958-179
289.56683,-41.19189,PMN J1918-4111
285.754,-67.82613,PMN J1903-6749
255.90225,-62.21111,MRC 1659-621
148.26129,-8.67177,PMN J0953-0840
122.76367,-75.50779,PMN J0810-7530
70.07161,-43.5524,PKS 0438-43
350.478953,32.068835,B2 2319+31
325.4435,-64.18735,PMN J2141-6411
250.123,39.77975,NRAO 512
214.84357,-8.64218,NVSS J141922-083830
213.99504,13.33992,PKS B1413+135
196.08752,-43.88617,1RXS J130421.2-435308
173.19096,0.57465,PKS B1130+008
137.2924,1.36004,PKS 0906+01
82.73507,13.53199,PKS 0528+134
76.98407,67.62341,1ES 0502+675
0.38472,21.22689,TXS 2358+209
330.86234,17.43005,PKS 2201+171
276.02908,56.84991,4C +56.27
273.39667,31.73825,B2 1811+31
172.52939,-14.82428,PKS 1127-14
137.43717,-2.52508,PKS 0907-023
134.17413,-11.08746,PMN J0856-1105
95.59193,-26.09573,PMN J0622-2605
73.311,-28.12703,PKS 0451-28
23.18145,-16.91319,PKS 0130-17
5.63554,6.13456,PKS 0019+058
2.34442,50.50796,NVSS J000922+503028
342.25235,21.11745,PKS 2246+208
329.37004,31.45039,B2 2155+31
326.79229,9.49631,PKS 2144+092
320.2525,19.02453,OX 131
301.37917,77.87867,S5 2007+77
291.21275,-29.24169,PKS B1921-293
241.77702,15.85965,4C +15.54
176.75584,-38.20308,PKS 1144-379
109.68178,-43.33048,PMN J0718-4319
90.29449,-70.60146,PKS 0601-70
79.18719,-62.11816,PKS 0516-621
51.40338,22.40011,TXS 0322+222
41.50049,-46.85479,PKS 0244-470
330.58016,-83.63662,PKS 2155-83
268.54916,32.2064,RX J1754.1+3212
244.45529,-77.28847,PKS 1610-77
200.29671,22.27003,TXS 1318+225
185.01618,71.09241,S5 1217+71
153.17242,24.6565,MG2 J101241+2439
91.99875,-8.58056,PKS 0605-08
84.97617,-28.66554,PKS 0537-286
12.81644,-62.70128,1RXS J005117.7-624154
7.63258,-2.19894,PKS B0027-024
355.224,80.25416,1RXS J234051.4+801513
350.96698,42.18293,1ES 2321+419
345.28323,-1.96791,PKS B2258-022
282.143,32.73335,B2 1846+32B
277.38242,48.74616,3C 380
262.0776,50.21958,I Zw 187
257.42121,43.31236,B3 1708+433
238.38168,-24.36823,PKS 1550-242
228.06565,2.05446,PKS 1509+022
226.53971,37.51419,B2 1504+37
218.6658,19.86687,OQ 253
198.21204,-4.41386,PKS B1310-041
196.90895,-42.99336,1RXS J130737.8-425940
194.727,-22.32531,PKS 1256-220
177.64483,41.91111,RBS 1040
172.72282,38.25518,B2 1128+38
146.64612,10.28504,TXS 0943+105
138.96829,29.55667,Ton 0396
132.53929,-12.2271,PMN J0850-1213
116.67629,-47.91528,PMN J0746-4755
115.66575,54.74019,GB6 J0742+5444
45.41021,-71.94289,PKS 0301-721
44.86279,7.79433,PKS 0256+075
34.32161,8.61807,ZS 0214+083
170.0,-22.0667,4FGL J1120.0-2204
318.125,-30.7167,
351.88974,9.66886,PKS 2325+093
342.68539,-28.11093,PMN J2250-2806
254.44529,48.14253,4C +48.41
241.15588,57.24276,GB6 J1604+5714
229.51519,-27.52539,TXS 1515-273
170.20026,42.20346,RBS 0970
159.42691,-28.38447,PKS B1035-281
68.29623,5.35434,3C 120
49.05353,9.07848,GB6 J0316+0904
18.94194,25.33012,RX J0115.7+2519
1.99988,47.20214,MG4 J000800+4712
352.08051,-40.58632,PKS 2325-408
315.90999,-62.540532,PMN J2103-6232
313.05702,-55.55279,PMN J2052-5533
309.75298,-10.77832,TXS 2036-109
270.38521,44.07209,S4 1800+44
266.36294,-7.88443,TXS 1742-078
230.65634,-27.5029,PKS 1519-273
227.7233,-5.71873,PKS 1508-05
214.61948,35.71356,87GB 141615.9+355650
198.18058,48.47525,GB 1310+487
198.13067,-21.9397,PKS 1309-216
179.8393,-21.71248,PMN J1159-2142
178.34297,-11.08683,PKS B1150-108
129.95699,1.07353,PKS 0837+012
123.66325,64.52281,GB6 J0814+6431
85.7332,-9.22315,PMN J0542-0913
84.11846,-34.01986,PKS 0534-340
51.1715,34.17942,1H 0323+342
30.93446,30.7105,NVSS J020344+304238
23.27298,-52.00127,PKS 0131-522
12.4302,2.61754,PKS 0047+023
187.7059308,12.39112324,M 87
352.7674,-21.80386,PMN J2331-2148
326.65401,-13.73352,NVSS J214637-134359
290.88408,-21.07592,TXS 1920-211
288.16711,-80.16898,PKS 1903-80
282.092,32.31739,B2 1846+32A
226.27698,3.44185,PKS 1502+036
222.00243,36.14199,RBS 1432
206.06001,-17.39456,PMN J1344-1723
187.93155,28.79716,B2 1229+29
185.59396,4.22105,4C +04.42
170.35462,-5.89901,PKS 1118-05
169.27604,20.23539,RBS 0958
124.11219,-13.19746,PMN J0816-1311
121.36096,75.57361,RX J0805.4+7534
119.27874,9.94334,PKS 0754+100
108.482,19.58345,MG2 J071354+1934
105.39394,-46.57684,PKS 0700-465
54.62199,13.03763,RX J0338.4+1302
