Name,ra,dec,CatalogName
1eRASS J095304.5-765804,148.26813,-76.96731,3HSPJ095304.4-765802
1eRASSJ095341.6+014200,148.42241,1.70067,J095341+014205
1eRASSJ095402.3+103639,148.50938,10.60848,MCG2-25-054
1eRASS J095513.5-212305,148.80662,-21.38418,
J095628.1-095719,149.11754,-9.95531,3HSPJ095628.0-095719
1eRASSJ100020.2+003019,150.08417,0.50555,N.A.
1eRASSJ100810.8+171108,152.04478,17.18632,SDSSJ100810.74+171110.7
1eRASSJ101014.3+230632,152.56068,23.10935,N.A.
1eRASSJ101126.3+050259,152.85913,5.05107,SDSSJ101126.19+050303.8
1eRASSJ101353.2+244915,153.47262,24.82123,5BZQ J1013+2449
1eRASSJ101435.8+274904,153.64871,27.81762,B21011+28
1eRASSJ101557.0+010911,153.98773,1.15382,5BZQ J1015+0109
1eRASSJ101609.4+115805,154.03969,11.96696,SDSSJ101609.52+115801.0
1eRASS J101825.6+380535,154.60669,38.09174,
1eRASS J102436.2-383917,156.15133,-38.65498,
1eRASSJ102512.6+152341,156.30237,15.39307,WISEAJ102512.57+152335.1
1eRASSJ102851.3+251439,157.21405,25.24364,J102851+251437
1eRASSJ102901.7+272850,157.25676,27.48092,PGC1809432
1eRASS J103853.3+392150,159.72225,39.3644,
1eRASS J105727.7-403941,164.36624,-40.66129,
J110717.8+080438,166.82327,8.07671,VIIIZw
J111111.2-300924,167.79675,-30.15627,J111110-300927
1eRASSJ112209.6+123005,170.54134,12.50058,J112209.92+123002.0
1eRASS J112635.5-425211,171.64835,-42.87027,3HSPJ112635.6-425212
1eRASSJ112745.7+153206,171.94048,15.53518,N.A.
1eRASS J113002.4-441449,172.50938,-44.24738,
1eRASS J114505.0+193625,176.27122,19.60656,3FGL J1145.1+1935
J114709.0-323001,176.78746,-32.50092,3HSPJ114709.0-323003
1eRASS J115024.0-064025,177.59992,-6.67415,
1eRASSJ115409.3+023813,178.53869,2.63754,5BZG J1154+0238
1eRASSJ115842.0+141429,179.67461,14.241394,J115841+141429
1eRASSJ120055.2+032654,180.23031,3.44878,J120055+032654
J120114.7-034042,180.30982,-3.67809,N.A.
1eRASSJ120556.0+104252,181.4837,10.71497,MC1203+109
