16YName,4FGLName,1FLATName,16Y_ASSOC1,New/confirmed,WHO-1,Second evaluation,WHO-2,comment,nu_syn,nuFnu_syn,1/2FLATra,1/2FLATdec,4LAC_ASSOC1,4FGL_ASSOC1
FL16Y J1744.1+4635,4FGL J1744.1+4635,1FLAT J174402.9+463740,,,,,,,18.3,-11.9,266.01216,46.62799,,RX J1744.0+4637
FL16Y J1744.4+1851,4FGL J1744.4+1851,1FLAT J174419.8+185217,1RXS J174420.1+185215,,,,,,16.0,-12.1,266.08255,18.87166,1RXS J174420.1+185215,1RXS J174420.1+185215
FL16Y J1745.6+3950,4FGL J1745.6+3950,1FLAT J174537.8+395130,B2 1743+39C,,,,,,15.9,-11.8,266.40731,39.85859,B2 1743+39C,B2 1743+39C
FL16Y J1747.1+4938,4FGL J1747.2+4937,1FLAT J174702.5+493801,RX J1747.0+4938,,,,,,17.9,-11.9,266.76032,49.63379,RX J1747.0+4938,RX J1747.0+4938
FL16Y J1747.8-0316,4FGL J1747.8-0316,2FLAT J174745.9-031523,,,,,,Corrected coordinated from 1FLAT source,16.5,-12.5,266.9411065,-3.2565686,,
FL16Y J1752.0+3606,4FGL J1752.0+3606,2FLAT J175209.7+360627,,New blazar,P.G.,,,,16.4,-12.6,268.0406,36.1077,,
FL16Y J1755.9+0952,4FGL J1755.9+0953,2FLAT J175555.5+095239,,New blazar,P.G.,,,,15.6,-12.4,268.9815,9.8776,,
FL16Y J1756.2+5522,4FGL J1756.3+5522,1FLAT J175615.9+552218,RX J1756.1+5522,,,,,,17.0,-11.4,269.06617,55.37169,RX J1756.1+5522,RX J1756.1+5522
FL16Y J1757.0+7033,4FGL J1757.0+7032,1FLAT J175713.1+703337,MS 1757.7+7034,,,,,,16.9,-11.7,269.30439,70.56051,MS 1757.7+7034,MS 1757.7+7034
FL16Y J1800.1+2811,4FGL J1800.1+2812,1FLAT J180002.0+281045,NVSS J180002+281050,,,,,,16.8,-11.8,270.00849,28.17935,NVSS J180002+281050,NVSS J180002+281050
FL16Y J1801.7+2950,4FGL J1801.8+2951,1FLAT J180144.0+295055,RX J1801.6+2950,,,,,,17.1,-12.2,270.43322,29.84877,RX J1801.6+2950,RX J1801.6+2950
FL16Y J1803.6-4741,4FGL J1803.5-4739,1FLAT J180333.3-474158,1eRASS J180333.2-474156,Check,P.G.,,,"There is some doubt about the optical counterpart of the 1FLAT source the only two visible sources near the radio and xray sources are stars. However, we are close to the Galactic plane (b-12) and it could be that the real optical counterpart is absorbed and not visible behind a star",17.4,-11.8,270.888607,-47.699657,,
FL16Y J1808.8+2419,4FGL J1808.8+2419,1FLAT J180845.7+241905,1RXS J180847.3+241923,,,,,,17.0,-12.1,272.19041,24.31823,1RXS J180847.3+241923,1RXS J180847.3+241923
FL16Y J1810.1+2156,4FGL J1810.1+2156,1FLAT J181012.1+215820,,,,,,,18.4,-12.5,272.55042,21.9723,,
FL16Y J1811.3+0340,4FGL J1811.3+0340,1FLAT J181118.0+034113,NVSS J181118+034113,,,,,,16.3,-11.3,272.82513,3.68717,NVSS J181118+034113,NVSS J181118+034113
FL16Y J1820.3+3624,4FGL J1820.3+3624,1FLAT J182021.0+362343,NVSS J182021+362343,,,,,,16.2,-12.0,275.08742,36.39531,NVSS J182021+362343,NVSS J182021+362343
FL16Y J1824.4+4310,4FGL J1824.5+4311,1FLAT J182419.0+430949,RX J1824.2+4309,,,,,,18.1,-11.8,276.07929,43.16375,RX J1824.2+4309,RX J1824.2+4309
FL16Y J1828.1+2633,4FGL J1828.0+2634,1FLAT J182756.5+263312,NVSS J182756+263313,,,,,,16.2,-12.2,276.98555,26.5535,NVSS J182756+263313,NVSS J182756+263313
FL16Y J1828.5-5921,4FGL J1828.5-5920,1FLAT J182833.5-592054,WISEA J182833.55-592054.7,,,,,,18.0,-11.8,277.13979,-59.34853,,WISEA J182833.55-592054.7
FL16Y J1836.6+1949,4FGL J1836.5+1948,1FLAT J183632.1+195046,NVSS J183632+195047,,,,,,16.0,-11.9,279.13386,19.84622,NVSS J183632+195047,NVSS J183632+195047
FL16Y J1838.4-6024,4FGL J1838.4-6023,1FLAT J183821.1-602523,2MASS J18382063-6025224,,,,,,15.9,-11.8,279.58807,-60.42325,2MASS J18382063-6025224,2MASS J18382063-6025224
FL16Y J1838.8+4802,4FGL J1838.8+4802,1FLAT J183849.2+480234,GB6 J1838+4802,,,,,,15.8,-11.2,279.70483,48.04289,GB6 J1838+4802,GB6 J1838+4802
FL16Y J1841.4+2909,4FGL J1841.3+2909,1FLAT J184121.7+290939,MG3 J184126+2910,,,,,,16.1,-11.7,280.34043,29.16092,MG3 J184126+2910,MG3 J184126+2910
FL16Y J1841.8+3218,4FGL J1841.8+3218,1FLAT J184147.0+321839,RX J1841.7+3218,,,,,,16.0,-11.8,280.446,32.31089,RX J1841.7+3218,RX J1841.7+3218
FL16Y J1842.4-5841,4FGL J1842.4-5840,1FLAT J184229.8-584157,1RXS J184230.6-584202,,,,,,17.1,-11.6,280.62424,-58.69943,1RXS J184230.6-584202,1RXS J184230.6-584202
FL16Y J1844.9+5604,4FGL J1845.3+5605,1FLAT J184514.1+555242,,,,,,,16.7,-12.5,281.30876,55.87847,,
FL16Y J1848.5+6537,4FGL J1848.5+6537,1FLAT J184822.1+653656,NVSS J184822+653702,,,,,,16.8,-12.1,282.09196,65.61567,NVSS J184822+653702,NVSS J184822+653702
FL16Y J1848.8+4246,4FGL J1848.9+4247,1FLAT J184847.1+424539,RGB J1848+427,,,,,,17.2,-11.8,282.19633,42.76097,RGB J1848+427,RGB J1848+427
FL16Y J1849.3-6448,4FGL J1849.3-6447,1FLAT J184926.4-644930,1RXS J184924.8-644933,,,,,,16.7,-12.0,282.36008,-64.82526,1RXS J184924.8-644933,1RXS J184924.8-644933
FL16Y J1850.3+2632,4FGL J1850.5+2631,1FLAT J185024.0+263153,NVSS J185023+263151,,,,,,16.0,-11.8,282.60013,26.53156,NVSS J185023+263151,NVSS J185023+263151
FL16Y J1854.0+6715,4FGL J1853.8+6714,1FLAT J185352.1+671355,1ES 1853+671,,,,,,16.9,-12.2,283.46692,67.23197,1ES 1853+671,1ES 1853+671
FL16Y J1857.7+3542,4FGL J1857.8+3544,1FLAT J185736.4+354129,NVSS J185744+354343,,,,,,17.1,-12.0,284.40167,35.69148,NVSS J185744+354343,NVSS J185744+354343
FL16Y J1858.2+4325,4FGL J1858.3+4321,1FLAT J185813.4+432450,NVSS J185813+432452,,,,,,16.4,-11.8,284.55565,43.41391,NVSS J185813+432452,NVSS J185813+432452
FL16Y J1904.1+5314,4FGL J1904.0+5313,1FLAT J190350.5+531301,,,,,,,15.9,-12.6,285.96043,53.21719,,
FL16Y J1904.2+3626,4FGL J1904.1+3627,1FLAT J190411.8+362658,MG2 J190411+3627,,,,,,15.9,-11.6,286.04933,36.44964,MG2 J190411+3627,MG2 J190411+3627
FL16Y J1911.4-1908,4FGL J1911.4-1908,1FLAT J191129.7-190824,PMN J1911-1908,,,,,,17.0,-11.5,287.87392,-19.14022,PMN J1911-1908,PMN J1911-1908
FL16Y J1913.9+4439,4FGL J1913.9+4439,1FLAT J191401.9+443832,2MASS J19140184+4438323,,,,,,15.6,-11.9,288.50783,44.64228,2MASS J19140184+4438323,2MASS J19140184+4438323
FL16Y J1918.1+3752,4FGL J1918.1+3752,1FLAT J191809.6+375313,1RXS J191810.2+375315,,,,,,16.5,-11.9,289.54017,37.88697,1RXS J191810.2+375315,1RXS J191810.2+375315
FL16Y J1922.0+5818,4FGL J1921.7+5817,1FLAT J192157.6+581701,WISEA J192158.68+581708.5,,,,,,16.1,-12.5,290.49019,58.28368,WISEA J192158.68+581708.5,WISEA J192158.68+581708.5
FL16Y J1922.6-7453,4FGL J1922.5-7453,1FLAT J192241.9-745355,J192244.1-745411,,,,,,16.2,-11.5,290.6747,-74.89883,1RXS J192244.1-74541,J192244.1-745411
FL16Y J1923.0-4746,4FGL J1923.0-4746,1FLAT J192304.0-474501,1eRASS J192304.0-474503,,,,,,17.6,-12.2,290.76674,-47.75039,,
FL16Y J1923.3-2504,4FGL J1923.4-2503,1FLAT J192325.4-250208,1RXS J192325.9-250228,,,,,,17.8,-12.2,290.856006,-25.035559,1RXS J192325.9-250228,1RXS J192325.9-250228
FL16Y J1926.8+6155,4FGL J1926.8+6154,1FLAT J192649.9+615442,87GB 192614.4+614823,,,,,,15.8,-11.5,291.70783,61.91178,87GB 192614.4+614823,87GB 192614.4+614823
FL16Y J1928.7+5339,4FGL J1928.5+5339,1FLAT J192833.6+533902,1RXS J192833.5+53390,,,,,,17.6,-11.9,292.1399,53.65069,,
FL16Y J1931.2+5958,4FGL J1931.2+5958,1FLAT J193113.9+600003,87GB 193024.4+595349,,,,,,16.3,-11.8,292.80789,60.00091,,87GB 193024.4+595349
FL16Y J1934.2-2419,4FGL J1934.3-2419,1FLAT J193412.6-241923,NVSS J193412-241922,,,,,,16.1,-11.7,293.55252,-24.3233,NVSS J193412-241922,NVSS J193412-241922
FL16Y J1934.4+6001,4FGL J1934.2+6002,1FLAT J193419.6+600139,GALEXASC J193419.64+600139.5,,,,,,15.7,-12.1,293.58175,60.02764,GALEXASC J193419.64+600139.5,GALEXASC J193419.64+600139.5
FL16Y J1936.9-4720,4FGL J1936.9-4720,1FLAT J193655.8-471953,PMN J1936-4719,,,,,,17.1,-11.4,294.23237,-47.33145,PMN J1936-4719,PMN J1936-4719
FL16Y J1943.0-3511,4FGL J1942.8-3512,1FLAT J194306.7-351005,1RXS J194306.8-351001,,,,,,16.0,-11.8,295.77787,-35.16829,1RXS J194306.8-351001,1RXS J194306.8-351001
FL16Y J1943.9-0534,4FGL J1943.6-0533,1FLAT J194333.8-053352,1RXS J194334.2-053352,,,,,,17.9,-12.1,295.8907,-5.56452,1RXS J194334.2-053352,1RXS J194334.2-053352
FL16Y J1944.0-2705,4FGL J1943.9-2705,1FLAT J194356.5-270530,NVSS J194356-270538,,,,,,16.9,-12.1,295.9855,-27.09169,NVSS J194356-270538,NVSS J194356-270538
FL16Y J1944.4-4523,4FGL J1944.4-4523,1FLAT J194422.3-452331,SUMSS J194422-452333,,,,,,16.2,-11.7,296.09309,-45.39203,SUMSS J194422-452333,SUMSS J194422-452333
FL16Y J1944.8-2143,4FGL J1944.9-2143,1FLAT J194454.9-214321,1RXS J194455.3-214318,,,,,,15.9,-11.7,296.22884,-21.72271,1RXS J194455.3-214318,1RXS J194455.3-214318
FL16Y J1954.9-5640,4FGL J1954.9-5640,1FLAT J195502.8-564028,1RXS J195503.1-564031,,,,,,15.9,-11.7,298.76187,-56.67461,1RXS J195503.1-564031,1RXS J195503.1-564031
