16YName,4FGLName,1FLATName,16Y_ASSOC1,New/confirmed,WHO-1,Second evaluation,WHO-2,comment,nu_syn,nuFnu_syn,1/2FLATra,1/2FLATdec,4LAC_ASSOC1,4FGL_ASSOC1
FL16Y J2108.7-0250,4FGL J2108.7-0250,1FLAT J210844.6-025034,TXS 2106-030,,,,,,15.7,-11.7,317.18604,-2.84302,TXS 2106-030,TXS 2106-030
FL16Y J2109.6+0440,4FGL J2109.6+0440,1FLAT J210940.1+044000,GALEXASC J210940.09+044000.8,,,,,,15.7,-12.1,317.41717,4.66677,GALEXASC J210940.09+044000.8,GALEXASC J210940.09+044000.8
FL16Y J2109.9-8618,4FGL J2109.8-8618,1FLAT J211011.2-861847,2MASS J21101113-8618473,,,,,,15.8,-12.0,317.54658,-86.31322,2MASS J21101113-8618473,2MASS J21101113-8618473
FL16Y J2112.7+0819,4FGL J2112.7+0819,1FLAT J211243.2+081836,1RXS J211242.5+081831,,,,,,16.0,-11.9,318.18007,8.31023,1RXS J211242.5+081831,1RXS J211242.5+081831
FL16Y J2114.3+2132,4FGL J2114.2+2132,1FLAT J211407.8+213240,,,,,,,16.3,-12.3,318.53233,21.54467,,
FL16Y J2117.9-3242,4FGL J2117.8-3243,1FLAT J211754.9-324328,NVSS J211754-324326,,,,,,15.6,-12.0,319.47879,-32.7245,NVSS J211754-324326,NVSS J211754-324326
FL16Y J2118.3-5419,4FGL J2118.2-5419,1FLAT J211822.1-542033,1RXS J211822.1-542026,,,,,,16.7,-12.3,319.59197,-54.34257,1RXS J211822.1-542026,1RXS J211822.1-542026
FL16Y J2123.0-8317,4FGL J2123.5-8315,2FLAT J212125.4-831915,3HSP J212125.5-831914,Confirmed F16Y,P.G.,,,This source was not  in 1FLAT becaus it was out of the 4FGL-DR4 error region. It is now inside the FL16Y error region,16.5,-12.4,320.35566,-83.32088,,
FL16Y J2124.1+1532,4FGL J2124.2+1531,1FLAT J212356.0+153401,,,,,,,17.6,-12.0,320.98321,15.56707,,
FL16Y J2127.5-6000,4FGL J2127.6-5959,1FLAT J212729.7-600109,NGC 7059,,,,,,17.8,-12.1,321.873935,-60.01928,,NGC 7059
FL16Y J2128.7-1941,4FGL J2128.7-1940,1FLAT J212839.8-194152,1RXS J212839.6-194149,,,,,,17.2,-12.3,322.1658,-19.69796,,1RXS J212839.6-194149
FL16Y J2130.1-8222,4FGL J2130.1-8222,2FLAT J212857.9-822339,1eRASS J212858.2-822334,Confirmed F16Y,P.G.,,,,16.8,-12.4,322.24135,-82.39436,,
FL16Y J2131.0-2746,4FGL J2131.0-2746,1FLAT J213103.2-274658,RBS 1751,,,,,,15.8,-11.6,322.76349,-27.78278,RBS 1751,RBS 1751
FL16Y J2131.6-0915,4FGL J2131.5-0916,1FLAT J213135.4-091523,RBS 1752,,,,,,16.3,-11.5,322.8976,-9.25658,RBS 1752,RBS 1752
FL16Y J2131.8-2515,4FGL J2131.7-2515,1FLAT J213151.5-251558,RBS 1755,,,,,,17.2,-11.6,322.96475,-25.26629,RBS 1755,RBS 1755
FL16Y J2134.6-2705,,2FLAT J213435.10-270556,NVSS J213435-270555,Confirmed F16Y,P.G.,,,,16.5,-12.2,323.65,-27.0989,,
FL16Y J2136.1-4442,,2FLAT J213618.3-444349,MH 2133-449,Confirmed F16Y,P.G.,,,,16.6,-12.2,324.07608,-44.73043,,
FL16Y J2138.3+3556,4FGL J2138.3+3556,1FLAT J213806.6+355427,MG3 J213809+3553,,,,,,16.2,-12.0,324.52751,35.90769,MG3 J213809+3553,MG3 J213809+3553
FL16Y J2138.8-2055,4FGL J2138.8-2055,1FLAT J213852.8-205347,1RXS J213852.9-205354,,,,,,17.2,-11.7,324.71981,-20.89659,1RXS J213852.9-205354,1RXS J213852.9-205354
FL16Y J2142.4+3659,4FGL J2142.4+3659,1FLAT J214226.4+365948,2MASS J21422658+3659481,,,,,,16.7,-11.5,325.60982,36.99685,2MASS J21422658+3659481,2MASS J21422658+3659481
FL16Y J2142.6-2029,4FGL J2142.5-2029,1FLAT J214239.8-202819,WISEA J214239.78-202819.1,,,,,,16.4,-12.2,325.66586,-20.472,,
FL16Y J2142.8+1957,4FGL J2142.8+1958,1FLAT J214247.5+195810,NVSS J214247+195810,,,,,,16.0,-12.2,325.69789,19.9697,NVSS J214247+195810,NVSS J214247+195810
FL16Y J2144.7-1600,4FGL J2144.8-1600,1FLAT J214439.3-155931,NVSS J214438-160049,,,,,,16.9,-12.2,326.16371,-15.99207,,
FL16Y J2144.8-1818,4FGL J2144.8-1817,1FLAT J214442.0-181801,NVSS J214442-181801,,,,,,15.7,-12.1,326.17508,-18.30033,NVSS J214442-181801,NVSS J214442-181801
FL16Y J2144.9-5640,4FGL J2144.7-5640,1FLAT J214429.6-563849,WISEA J214429.57-563849.0,,,,,,16.6,-12.6,326.1232,-56.64697,,
FL16Y J2145.8+0720,4FGL J2145.7+0718,1FLAT J214552.3+071927,MS 2143.4+0704,,,,,,17.5,-11.8,326.46792,7.32422,MS 2143.4+0704,MS 2143.4+0704
FL16Y J2146.5-1344,4FGL J2146.5-1344,1FLAT J214637.0-134400,NVSS J214637-134359,,,,,,15.7,-11.5,326.65401,-13.73352,NVSS J214637-134359,NVSS J214637-134359
FL16Y J2147.1-0334,4FGL J2147.1-0334,1FLAT J214704.0-033221,,,,,,,16.9,-12.3,326.76659,-3.53943,,
FL16Y J2150.2-1411,4FGL J2150.1-1410,1FLAT J215015.5-141049,TXS 2147-144,,,,,,17.3,-11.6,327.56466,-14.18055,TXS 2147-144,TXS 2147-144
FL16Y J2150.8+1117,4FGL J2150.8+1118,1FLAT J215051.7+111916,NVSS J215051+111915,,,,,,15.7,-12.1,327.71546,11.32128,NVSS J215051+111915,NVSS J215051+111915
FL16Y J2152.0-1206,4FGL J2152.0-1205,1FLAT J215214.1-120541,RBS 1791,,,,,,15.9,-12.0,328.05882,-12.09486,RBS 1791,RBS 1791
FL16Y J2152.9-6443,4FGL J2153.0-6442,1FLAT J215306.5-644445,1RXS J215306.4-64444,,,,,,16.0,-11.5,328.2769,-64.74608,,
FL16Y J2153.1-0041,4FGL J2153.1-0041,1FLAT J215305.3-004230,RBS 1792,,,,,,17.9,-11.7,328.27221,-0.7085,RBS 1792,RBS 1792
FL16Y J2156.0+1818,4FGL J2156.0+1818,1FLAT J215601.6+181837,RX J2156.0+1818,,,,,,15.9,-11.8,329.00683,18.31032,RX J2156.0+1818,RX J2156.0+1818
FL16Y J2158.8-3013,4FGL J2158.8-3013,1FLAT J215852.0-301331,PKS 2155-304,,,,,,15.8,-10.1,329.71648,-30.22552,PKS 2155-304,PKS 2155-304
FL16Y J2159.5-4620,4FGL J2159.6-4620,1FLAT J215936.1-461953,WISEA J215936.14-461953.9,,,,,,15.8,-12.4,329.90052,-46.3316,,
FL16Y J2200.9-5906,4FGL J2201.0-5907,1FLAT J220107.5-590639,SUMSS J220107-590639,,,,,,16.1,-12.0,330.2811,-59.11091,SUMSS J220107-590639,SUMSS J220107-590639
FL16Y J2201.4+2950,4FGL J2201.5+2950,1FLAT J220123.8+294934,RX J2201.3+2949,,,,,,15.8,-12.1,330.34925,29.82628,RX J2201.3+2949,RX J2201.3+2949
FL16Y J2201.9-1706,4FGL J2201.9-1706,1FLAT J220155.8-170700,RBS 1813,,,,,,17.2,-11.9,330.48263,-17.11675,RBS 1813,RBS 1813
FL16Y J2207.1+3607,4FGL J2207.0+3607,1FLAT J220707.9+360933,1RXS J220708.5+360935,,,,,,17.8,-11.5,331.78281,36.15938,1RXS J220708.5+360935,1RXS J220708.5+360935
FL16Y J2207.2+2222,4FGL J2207.1+2222,1FLAT J220704.1+222231,WISEA J220704.11+222231.5,,,,,,16.1,-12.5,331.7671,22.37538,,
FL16Y J2210.5+3623,4FGL J2210.5+3623,1FLAT J221029.7+362159,WISEA J221029.68+362159.8,,,,,,17.0,-12.0,332.62356,36.36666,WISEA J221029.68+362159.8,WISEA J221029.68+362159.8
FL16Y J2210.9+3202,4FGL J2210.8+3203,1FLAT J221058.5+320341,1RXS J221058.3+320327,,,,,,16.7,-12.1,332.74394,32.06142,1RXS J221058.3+320327,1RXS J221058.3+320327
FL16Y J2211.0-0003,4FGL J2211.0-0003,1FLAT J221108.3-000302,RX J2211.1-0003,,,,,,16.1,-12.0,332.78477,-0.05071,RX J2211.1-0003,RX J2211.1-0003
FL16Y J2213.9+0810,,2FLAT J221410.6+081021,,New blazar,P.G.,,,Very extreme,17.0,-12.6,333.5441,8.17257,,
FL16Y J2217.0-6727,4FGL J2217.0-6727,1FLAT J221659.6-672800,3HSP J221659.5-672800,,,,,,17.2,-12.3,334.24825,-67.46667,,
FL16Y J2220.5+2813,4FGL J2220.5+2813,1FLAT J222028.7+281355,RX J2220.4+2814,,,,,,15.7,-11.9,335.11969,28.23213,RX J2220.4+2814,RX J2220.4+2814
FL16Y J2221.5-5225,4FGL J2221.5-5225,1FLAT J222129.3-522527,PMN J2221-5224,,,,,,15.8,-11.3,335.37213,-52.4244,PMN J2221-5224,PMN J2221-5224
FL16Y J2222.0-3907,4FGL J2222.1-3907,1FLAT J222158.1-390508,,,,,,,16.5,-12.5,335.49204,-39.08556,,
FL16Y J2225.9-0804,4FGL J2225.8-0804,2FLAT J222553.1-080415,NVSS J222553-080412,Confirmed F16Y,P.G.,,,,16.2,-12.5,336.47148,-8.07085,,
FL16Y J2226.7+0211,4FGL J2226.6+0210,1FLAT J222636.4+021037,2MASS J22263636+0210373,,,,,,17.8,-11.8,336.65182,2.17704,2MASS J22263636+0210373,2MASS J22263636+0210373
FL16Y J2227.7-3035,4FGL J2227.9-3031,1FLAT J222750.6-303343,PKS 2225-308,,,,,,15.9,-11.8,336.96098,-30.56209,PKS 2225-308,PKS 2225-308
FL16Y J2228.0-4155,4FGL J2228.0-4155,1FLAT J222758.7-415658,RBS 1864,,,,,,16.0,-12.4,336.9946,-41.94968,RBS 1864,RBS 1864
FL16Y J2229.1+2255,4FGL J2229.1+2254,1FLAT J222911.2+225459,NVSS J222913+225511,,,,,,17.1,-11.8,337.29659,22.91661,NVSS J222913+225511,NVSS J222913+225511
FL16Y J2231.6+2755,4FGL J2231.6+2754,1FLAT J223135.0+275447,1RXS J223135.0+275430,,,,,,16.1,-12.2,337.89601,27.9131,1RXS J223135.0+275430,1RXS J223135.0+275430
FL16Y J2232.2+7616,4FGL J2232.3+7616,1FLAT J223222.6+761636,1RXS J223219.3+761713,,,,,,15.6,-12.5,338.09427,76.27678,1RXS J223219.3+761713,1RXS J223219.3+761713
FL16Y J2232.7-2023,4FGL J2232.6-2023,1FLAT J223248.8-202226,NVSS J223248-202226,,,,,,17.3,-11.8,338.20333,-20.37392,NVSS J223248-202226,NVSS J223248-202226
FL16Y J2232.9+1335,4FGL J2232.8+1334,1FLAT J223301.1+133602,RX J2233.0+1335,,,,,,17.7,-11.8,338.25467,13.60056,RX J2233.0+1335,RX J2233.0+1335
FL16Y J2236.5+3707,4FGL J2236.6+3706,1FLAT J223626.3-143322,NVSS J223626+370713,,,,,,15.9,-11.9,339.10975,-14.55615,NVSS J223626+370713,NVSS J223626+370713
FL16Y J2237.3-6726,4FGL J2237.2-6726,1FLAT J223709.8-672613,1eRASS J223709.7-672614,,,,,,16.1,-12.2,339.29065,-67.43705,,
FL16Y J2239.5-2439,4FGL J2239.5-2440,1FLAT J223928.8-243944,1RXS J223929.8-243959,,,,,,16.2,-12.2,339.87014,-24.66226,1RXS J223929.8-243959,1RXS J223929.8-243959
FL16Y J2240.2-1248,4FGL J2240.3-1246,1FLAT J224015.1-124738,1RXS J224014.7-124736,,,,,,16.2,-12.1,340.06303,-12.79413,1RXS J224014.7-124736,1RXS J224014.7-124736
FL16Y J2241.0-4122,4FGL J2241.1-4122,1FLAT J224103.6-412155,WISEA J224103.56-412155.5,,,,,,18.4,-12.0,340.26499,-41.36548,WISEA J224103.56-412155.5,WISEA J224103.56-412155.5
FL16Y J2241.3+2943,4FGL J2241.3+2943,1FLAT J224123.5+294247,1RXS J224123.5+294244,,,,,,17.7,-11.8,340.34806,29.71325,1RXS J224123.5+294244,1RXS J224123.5+294244
FL16Y J2243.6-1231,4FGL J2243.7-1231,1FLAT J224339.7-123101,RBS 1888,,,,,,16.3,-11.4,340.91534,-12.51713,RBS 1888,RBS 1888
FL16Y J2244.8-0007,4FGL J2244.9-0007,1FLAT J224448.1-000619,NVSS J224448-000616,,,,,,16.1,-12.3,341.20041,-0.10544,NVSS J224448-000616,NVSS J224448-000616
FL16Y J2246.7-5207,4FGL J2246.7-5207,1FLAT J224642.1-520640,RBS 1895,,,,,,17.9,-11.4,341.67542,-52.11122,RBS 1895,RBS 1895
FL16Y J2247.6-5854,4FGL J2247.7-5857,1FLAT J224745.2-585457,1eRASS J224744.9-585500,,,,,,16.3,-12.5,341.93828,-58.91601,,
FL16Y J2247.9+4413,4FGL J2247.8+4413,1FLAT J224753.2+441315,RGB J2247+442,,,,,,16.4,-11.5,341.97169,44.22094,RGB J2247+442,RGB J2247+442
FL16Y J2248.3+3223,,2FLAT J224833.4+322332,3HSP J224833.3+322334,Confirmed F16Y,P.G.,,,,15.6,-12.4,342.13896,32.39241,,
FL16Y J2249.2-1258,4FGL J2249.4-1300,1FLAT J224910.7-130003,RBS 1899,,,,,,16.9,-11.5,342.29471,-13.00085,RBS 1899,RBS 1899
FL16Y J2249.7+1306,,2FLAT J224949.9+130844,SDSS J22498+1308,Confirmed F16Y,P.G.,,,,18.0,-12.3,342.45779,13.14575,,
FL16Y J2250.0+3825,4FGL J2250.0+3825,1FLAT J225005.9+382435,B3 2247+381,,,,,,16.6,-11.2,342.52467,38.40992,B3 2247+381,B3 2247+381
FL16Y J2251.8-3207,4FGL J2251.7-3208,1FLAT J225147.6-320612,1RXS J225146.9-320614,,,,,,18.3,-11.4,342.94818,-32.10351,1RXS J225146.9-320614,1RXS J225146.9-320614
FL16Y J2253.8+1405,4FGL J2253.7+1405,1FLAT J225354.2+140436,NVSS J225354+140439,,,,,,15.7,-12.0,343.47599,14.07692,NVSS J225354+140439,NVSS J225354+140439
FL16Y J2256.0-7120,4FGL J2256.4-7119,1FLAT J225619.1-712115,PMN J2256-7115,,,,,,17.2,-12.2,344.07958,-71.35426,PMN J2256-7115,PMN J2256-7115
FL16Y J2256.2-3303,4FGL J2256.3-3303,1FLAT J225613.3-330338,RXS J22562-3303,,,,,,15.8,-12.1,344.05547,-33.06069,,RXS J22562-3303
FL16Y J2258.2-5525,4FGL J2258.4-5524,1FLAT J225819.0-552537,PMN J2258-5526,,,,,,15.9,-11.8,344.57896,-55.427,PMN J2258-5526,PMN J2258-5526
FL16Y J2300.2+4053,4FGL J2300.1+4053,1FLAT J230012.4+405224,NVSS J230012+405224,,,,,,17.5,-11.8,345.05154,40.87352,NVSS J230012+405224,NVSS J230012+405224
FL16Y J2300.9-0735,4FGL J2300.8-0736,1FLAT J230054.7-073543,2MASS J23005469-0735438,,,,,,15.8,-12.3,345.22798,-7.59544,2MASS J23005469-0735438,2MASS J23005469-0735438
FL16Y J2304.7+3705,4FGL J2304.6+3704,1FLAT J230436.5+370506,1RXS J230437.1+370506,,,,,,16.3,-11.4,346.15199,37.08515,1RXS J230437.1+370506,1RXS J230437.1+370506
FL16Y J2306.6-1105,4FGL J2306.6-1105,1FLAT J230635.0-110348,RBS 1943,,,,,,17.5,-11.9,346.64582,-11.06341,RBS 1943,RBS 1943
FL16Y J2306.8-3035,4FGL J2306.8-3036,1FLAT J230648.0-303641,NVSS J230648-303643,,,,,,16.8,-12.0,346.69999,-30.61156,,NVSS J230648-303643
FL16Y J2307.5-1207,4FGL J2307.4-1206,1FLAT J230722.1-120517,1RXS J230722.5-120520,,,,,,15.8,-12.1,346.84206,-12.08824,1RXS J230722.5-120520,1RXS J230722.5-120520
FL16Y J2309.7-3633,4FGL J2309.7-3632,1FLAT J230940.8-363248,WISEA J230940.84-363248.7,,,,,,15.9,-11.8,347.42019,-36.5469,WISEA J230940.84-363248.7,WISEA J230940.84-363248.7
FL16Y J2310.3+3118,,2FLAT J231023.4+311949,2WHSPJ231023.3+311949.,Confirmed F16Y,P.G.,,,,18.2,-12.0,347.59738,31.33033,,
FL16Y J2310.6-4346,,2FLAT J231041.8-434734,QSO J2310-4347,Confirmed F16Y,P.G.,,,,17.0,-11.8,347.67398,-43.79284,,
FL16Y J2311.8-4429,4FGL J2311.6-4427,1FLAT J231146.0-443220,,,,,,,15.8,-12.7,347.94178,-44.53904,,
FL16Y J2313.5-6923,4FGL J2313.4-6922,1FLAT J231347.9-692331,SUMSS J231347-692332,,,,,,17.5,-12.0,348.44954,-69.39196,SUMSS J231347-692332,SUMSS J231347-692332
FL16Y J2314.0+1445,4FGL J2314.0+1445,1FLAT J231357.3+144423,RGB J2313+147,,,,,,16.0,-11.7,348.48891,14.73979,RGB J2313+147,RGB J2313+147
FL16Y J2318.5-7638,,2FLAT J231818.6-764047,,New blazar,P.G.,,,,16.3,-12.7,349.57764,-76.67974,,
FL16Y J2319.7+1611,4FGL J2319.7+1609,1FLAT J231943.4+161150,RX J2319.6+1611,,,,,,15.8,-12.1,349.93099,16.19727,RX J2319.6+1611,RX J2319.6+1611
FL16Y J2320.7-6310,4FGL J2321.0-6308,1FLAT J232039.8-630918,2MASS J23203986-6309181,,,,,,16.2,-11.9,350.16604,-63.15507,2MASS J23203986-6309181,2MASS J23203986-6309181
FL16Y J2321.6-1619,4FGL J2321.5-1619,1FLAT J232137.0-161928,NVSS J232137-161935,,,,,,16.1,-11.9,350.40421,-16.32455,NVSS J232137-161935,NVSS J232137-161935
FL16Y J2322.6+3436,4FGL J2322.7+3436,1FLAT J232244.0+343614,TXS 2320+343,,,,,,15.7,-11.7,350.68333,34.60389,TXS 2320+343,TXS 2320+343
FL16Y J2322.8-4917,4FGL J2322.8-4916,1FLAT J232254.4-491630,SUMSS J232254-491629,,,,,,15.8,-11.6,350.72675,-49.27503,SUMSS J232254-491629,SUMSS J232254-491629
FL16Y J2323.9+4210,4FGL J2323.8+4210,1FLAT J232352.1+421058,1ES 2321+419,,,,,,15.6,-11.6,350.96698,42.18293,1ES 2321+419,1ES 2321+419
FL16Y J2324.7-4041,4FGL J2324.7-4041,1FLAT J232444.7-404048,1ES 2322-409,,,,,,15.7,-10.9,351.18644,-40.6802,1ES 2322-409,1ES 2322-409
FL16Y J2325.2-2011,4FGL J2325.2-2010,1FLAT J232520.3-201212,NVSS J232520-201213,,,,,,16.7,-12.3,351.33438,-20.20353,NVSS J232520-201213,NVSS J232520-201213
FL16Y J2327.4+4715,4FGL J2327.3+4717,1FLAT J232723.7+471601,NVSS J232723+471601,,,,,,16.0,-12.0,351.84858,47.26714,NVSS J232723+471601,NVSS J232723+471601
FL16Y J2329.2+3755,4FGL J2329.2+3755,1FLAT J232914.3+375414,NVSS J232914+375414,,,,,,16.1,-11.4,352.30956,37.90396,NVSS J232914+375414,NVSS J232914+375414
FL16Y J2330.2-2946,4FGL J2330.3-2948,1FLAT J233014.3-294548,LEDA 3230048,,,,,,15.6,-12.3,352.55967,-29.76344,LEDA 3230048,LEDA 3230048
FL16Y J2331.3-0301,4FGL J2331.5-0258,1FLAT J233113.0-030130,GALEXASC J233112.94-030129.9,,,,,,15.6,-12.2,352.80404,-3.02511,GALEXASC J233112.94-030129.9,GALEXASC J233112.94-030129.9
FL16Y J2332.8-0520,,2FLAT J233252.2-052142,3HSP J233252.2-052142,Confirmed F16Y,P.G.,,,,17.1,-12.5,353.21748,-5.36181,,
FL16Y J2333.9-2528,4FGL J2334.0-2528,1FLAT J233339.5-252710,1RXS J233340.1-252708,,,,,,16.6,-12.3,353.41471,-25.45287,1RXS J233340.1-252708,1RXS J233340.1-252708
FL16Y J2335.9-5810,4FGL J2335.9-5811,1FLAT J233552.9-581015,3HSP J233553.0-581015,,,,,,17.0,-12.4,353.97061,-58.171,1RXS J233556.4-581053,1RXS J233556.4-581053
FL16Y J2337.5-2903,4FGL J2337.7-2903,1FLAT J233730.5-290237,,,,,,,16.1,-12.3,354.3769,-29.04367,,
FL16Y J2338.1+0409,4FGL J2338.1+0411,1FLAT J233742.0+041003,,,,,,,15.6,-12.4,354.42508,4.16761,,
FL16Y J2339.1-7403,4FGL J2339.2-7403,1FLAT J233920.9-740435,1RXS J233919.8-740439,,,,,,16.2,-11.7,354.83704,-74.07664,1RXS J233919.8-740439,1RXS J233919.8-740439
FL16Y J2340.4+3854,4FGL J2340.5+3854,1FLAT J234042.9+385511,GALEXASC J234042.83+385510.7,,,,,,16.0,-12.1,355.17858,38.91994,GALEXASC J234042.83+385510.7,GALEXASC J234042.83+385510.7
FL16Y J2343.5+3439,4FGL J2343.6+3438,1FLAT J234333.6+343950,1RXS J234332.5+343957,,,,,,17.5,-11.5,355.88992,34.66414,1RXS J234332.5+343957,1RXS J234332.5+343957
FL16Y J2345.9+3413,4FGL J2345.9+3413,1FLAT J234555.0+341402,1RXS J234554.2+341419,,,,,,17.7,-11.7,356.47936,34.23398,1RXS J234554.2+341419,1RXS J234554.2+341419
FL16Y J2350.3-0559,4FGL J2350.4-0559,1FLAT J235017.9-055927,RBS 2051,,,,,,17.8,-12.2,357.57473,-5.99108,RBS 2051,RBS 2051
FL16Y J2350.6-3005,4FGL J2350.6-3005,1FLAT J235034.4-300606,LEDA 3231681,,,,,,16.0,-11.6,357.64322,-30.10186,LEDA 3231681,LEDA 3231681
FL16Y J2351.3-7559,4FGL J2351.3-7559,1FLAT J235116.1-760014,SUMSS J235115-760012,,,,,,15.8,-12.0,357.81696,-76.00412,SUMSS J235115-760012,SUMSS J235115-760012
FL16Y J2352.9-1134,,2FLAT J235246.6-113323,,New blazar,P.G.,,,,16.3,-12.7,358.1941,-11.5564,,
FL16Y J2353.4-1456,4FGL J2353.5-1457,1FLAT J235321.1-145857,1REX J235320-1458.9,,,,,,16.8,-12.4,358.338,-14.98253,1REX J235320-1458.9,1REX J235320-1458.9
FL16Y J2355.1-3615,,2FLAT J235509.1-361437,1eRASS J235509.0-361439,Confirmed F16Y,P.G.,,,,17.4,-12.4,358.78793,-36.24384,,
FL16Y J2356.2+4036,4FGL J2356.2+4036,1FLAT J235612.7+403646,NVSS J235612+403648,,,,,,15.7,-11.7,359.05309,40.61305,NVSS J235612+403648,NVSS J235612+403648
FL16Y J2357.4-1718,4FGL J2357.4-1718,1FLAT J235729.9-171800,RBS 2066,,,,,,17.5,-11.4,359.37463,-17.30002,RBS 2066,RBS 2066
FL16Y J2358.4+3829,4FGL J2358.3+3830,1FLAT J235825.1+382856,B3 2355+382,,,,,,16.0,-11.8,359.60475,38.4823,B3 2355+382,B3 2355+382
FL16Y J2358.6-1807,4FGL J2358.5-1808,1FLAT J235836.8-180718,1RXS J235836.3-180701,,,,,,15.7,-11.8,359.65345,-18.1217,1RXS J235836.3-180701,1RXS J235836.3-180701
FL16Y J2358.9+1449,4FGL J2359.3+1444,1FLAT J235821.8+143656,,,,,,,16.8,-12.9,359.59063,14.61569,,
FL16Y J2359.0-3038,4FGL J2359.0-3038,1FLAT J235907.9-303740,H 2356-309,,,,,,17.4,-11.3,359.78305,-30.62779,H 2356-309,H 2356-309
FL16Y J2359.2-2048,4FGL J2359.3-2049,1FLAT J235919.5-204756,TXS 2356-210,,,,,,16.3,-11.8,359.83138,-20.79892,TXS 2356-210,TXS 2356-210
FL16Y J2359.2+0215,4FGL J2359.3+0215,1FLAT J235916.9+021518,1RXS J235916.9+021505,,,,,,18.1,-12.4,359.82045,2.25519,1RXS J235916.9+021505,1RXS J235916.9+021505
