name,ra,dec 
PGC 0024791,132.3446,36.7099
PGC 0024839,132.5987,25.9543
PGC 0024908,133.0601,52.8895
PGC 0024930,133.1737,33.4196
PGC 0024964,133.4072,39.1351
PGC 0024981,133.4767,35.145
PGC 0025020,133.6934,39.5386
PGC 0025134,134.1991,39.382
PGC 0025161,134.335,2.9214
PGC 0025210,134.6363,28.2665
PGC 0025225,134.7108,6.2926
PGC 0025248,134.8777,44.9142
PGC 0025282,135.0658,40.2965
PGC 0025283,135.0946,64.9143
PGC 0025290,135.0847,52.494
PGC 0025305,135.1565,51.2074
PGC 0025308,135.1587,50.6781
PGC 0025360,135.4209,11.0827
PGC 0025399,135.6611,25.9342
PGC 0025423,135.8123,30.5914
PGC 0025426,135.8221,10.0189
PGC 0025525,136.4497,25.4371
PGC 0025640,136.8898,60.4797
PGC 0025735,137.1984,29.8651
PGC 0025757,137.2542,53.8492
PGC 0025806,137.3908,33.1237
PGC 0025836,137.4917,62.2467
PGC 0025847,137.5226,44.6177
PGC 0025875,137.6657,50.3795
PGC 0025946,138.0612,44.9545
PGC 0026002,138.3812,28.9514
PGC 0026012,138.3872,29.9996
PGC 0026015,138.4425,62.3313
PGC 0026055,138.6429,30.1408
PGC 0026100,138.8145,40.917
PGC 0026127,138.9793,10.1323
PGC 0026197,139.2061,27.4895
PGC 0026258,139.4617,-0.2783
PGC 0026282,139.5593,45.6519
PGC 0026338,139.8017,48.9675
PGC 0026357,139.8882,5.8827
PGC 0026363,139.9014,50.8791
PGC 0026371,139.9225,33.7383
PGC 0026390,139.99,37.1911
PGC 0026445,140.2201,35.368
PGC 0026501,140.4509,40.1513
PGC 0026528,140.5734,4.7083
PGC 0026543,140.6592,60.8655
PGC 0026580,140.8228,40.1996
PGC 0026607,140.9021,2.1367
PGC 0026631,141.0126,49.2039
PGC 0026740,141.4476,11.4251
PGC 0026766,141.5703,61.3815
PGC 0026787,141.6866,1.154
PGC 0026817,141.8479,30.4409
PGC 0026856,141.9745,57.3753
PGC 0026873,142.0413,44.665
PGC 0026970,142.5493,55.8521
PGC 0026982,142.573,26.6418
PGC 0027029,142.8423,67.7816
PGC 0027074,143.0263,8.4415
PGC 0027108,143.2119,59.7444
PGC 0027121,143.2655,29.9281
PGC 0027219,143.6608,5.8417
PGC 0027266,143.86,29.8128
PGC 0027358,144.2194,66.7881
PGC 0027361,144.2192,37.6947
PGC 0027477,144.6281,2.573
PGC 0027518,144.7467,6.9556
PGC 0027620,145.174,11.8882
PGC 0027681,145.3845,11.4128
PGC 0027723,145.5152,0.3361
PGC 0027777,145.7259,31.8468
PGC 0027780,145.7299,28.9815
PGC 0027789,145.7593,37.8231
PGC 0027803,145.8005,0.4139
PGC 0027826,145.8812,34.0421
PGC 0027843,145.9421,36.1793
PGC 0027859,145.9877,42.6724
PGC 0027860,145.9897,41.6872
PGC 0027925,146.2361,31.0976
PGC 0027944,146.3021,53.6865
PGC 0027946,146.31,9.11
PGC 0027981,146.4222,4.9423
PGC 0028026,146.5718,5.7084
PGC 0028032,146.5845,3.0453
PGC 0028033,146.5876,3.0714
PGC 0028099,146.7686,42.521
PGC 0028240,147.3457,1.1449
PGC 0028269,147.4616,12.6947
PGC 0028274,147.4702,9.0954
PGC 0028328,147.6516,64.4879
PGC 0028353,147.7343,62.1855
PGC 0028357,147.7393,33.554
PGC 0028452,148.1238,2.1539
PGC 0028470,148.2267,42.8478
PGC 0028520,148.4321,2.3742
PGC 0028617,148.8252,4.2701
PGC 0028630,148.8882,69.0653
PGC 0028645,148.9442,32.4299
PGC 0028699,149.149,1.4285
PGC 0028805,149.5881,32.3701
PGC 0028809,149.6592,1.0573
PGC 0028846,149.7885,50.9877
PGC 0028949,150.1334,4.4075
PGC 0029050,150.4939,55.6806
PGC 0029057,150.5297,3.0575
PGC 0029206,151.0645,53.3927
PGC 0029209,151.0938,13.6214
PGC 0029237,151.197,57.6018
PGC 0029460,151.993,68.3651
PGC 0029474,152.0487,42.4188
PGC 0029484,152.0863,31.8623
PGC 0029496,152.1335,-0.6672
PGC 0029539,152.3106,40.3517
PGC 0029567,152.4647,30.321
PGC 0029664,152.772,1.2237
PGC 0029696,152.9924,58.8646
PGC 0029855,153.5617,3.4664
PGC 0029889,153.6656,-0.8304
PGC 0029953,153.9262,55.6675
PGC 0029983,154.0427,58.4271
PGC 0029995,154.0856,4.8216
PGC 0030036,154.2722,54.8206
PGC 0030044,154.3167,53.4619
PGC 0030084,154.5212,60.3466
PGC 0030094,154.5951,45.9545
PGC 0030136,154.7717,46.4547
PGC 0030153,154.8072,59.1309
PGC 0030183,154.9285,57.4236
PGC 0030236,155.1329,43.0213
PGC 0030334,155.4814,48.0309
PGC 0030364,155.602,3.9972
PGC 0030459,155.9246,33.7735
PGC 0030680,156.6566,45.2444
PGC 0030694,156.7073,34.92
PGC 0030829,157.1137,12.7042
PGC 0030971,157.5405,44.1222
PGC 0031063,157.8837,32.3556
PGC 0031067,157.8969,0.4749
PGC 0031145,158.1445,65.0408
PGC 0031235,158.4588,12.8782
PGC 0031236,158.4642,-0.5617
PGC 0031336,158.7863,45.0845
PGC 0031428,159.0684,37.3242
PGC 0031446,159.1082,58.5561
PGC 0031528,159.2932,12.6524
PGC 0031545,159.3427,37.0772
PGC 0031567,159.401,5.6032
PGC 0031604,159.522,1.7448
PGC 0031651,159.6951,5.6966
PGC 0031673,159.7994,-0.4098
PGC 0031708,159.9028,47.3977
PGC 0031758,160.0742,38.4873
PGC 0031817,160.287,36.3725
PGC 0031892,160.5754,-0.3771
