ra,dec,name
186.5937083,64.1061111,SDSS J122622.49+640622.0
186.670125,43.0858889,SDSS J122640.83+430509.2
187.8705417,49.2602778,SDSS J123128.93+491537.0
190.39975,16.3426667,SDSS J124135.94+162033.6
190.53075,50.3629444,SDSS J124207.38+502146.6
191.5936667,7.8910833,SDSS J124622.48+075327.9
191.698,54.8875,SDSS J124647.52+545315.0
193.6455417,-2.5701111,SDSS J125434.93-023412.4
194.9721667,57.8638056,SDSS J125953.32+575149.7
195.5149167,-0.83675,SDSS J130203.58-005012.3
195.7029167,47.9196111,SDSS J130248.70+475510.6
196.5801667,11.2276944,SDSS J130619.24+111339.7
197.7226667,-2.4781944,SDSS J131053.44-022841.5
198.8794583,52.9103611,SDSS J131531.07+525437.3
199.0564167,9.5435278,SDSS J131613.54+093236.7
200.0730833,4.5103889,SDSS J132017.54+043037.4
200.760375,17.4758056,SDSS J132302.49+172832.9
201.9005417,27.138,SDSS J132736.13+270816.8
202.658375,39.1376111,SDSS J133038.01+390815.4
206.3729167,5.8313611,SDSS J134529.50+054952.9
206.9382917,50.5343056,SDSS J134745.19+503203.5
208.0606667,12.5671389,SDSS J135214.56+123401.7
208.2585,33.09125,SDSS J135302.04+330528.5
208.79725,24.4043333,SDSS J135511.34+242415.6
208.9734583,26.3716389,SDSS J135553.63+262217.9
209.2303333,27.1889444,SDSS J135655.28+271120.2
210.8053333,6.1689444,SDSS J140313.28+061008.2
212.31975,6.0276111,SDSS J140916.74+060139.4
212.90925,49.8844444,SDSS J141138.22+495304.0
213.182625,49.8684722,SDSS J141243.83+495206.5
213.6129167,28.4751389,SDSS J141427.10+282830.5
214.2205833,10.8074167,SDSS J141652.94+104826.7
215.5282917,36.243,SDSS J142206.79+361434.8
216.3384167,63.1559167,SDSS J142521.22+630921.3
216.5680833,0.8375833,SDSS J142616.34+005015.3
216.599,55.3013611,SDSS J142623.76+551804.9
216.705125,62.1683056,SDSS J142649.23+621005.9
217.1358333,42.6725,SDSS J142832.60+424021.0
217.9480833,60.8526111,SDSS J143147.54+605109.4
218.240875,4.6208611,SDSS J143257.81+043715.1
219.1606667,1.183,SDSS J143638.56+011058.8
219.8699167,11.1038333,SDSS J143928.78+110613.8
223.0644167,50.3736389,SDSS J145215.46+502225.1
223.9802917,11.8615,SDSS J145555.27+115141.4
225.2979167,9.5966389,SDSS J150111.50+093547.9
225.4505833,16.5626667,SDSS J150148.14+163345.6
226.033375,56.9292778,SDSS J150408.01+565545.4
226.2104583,4.6818889,SDSS J150450.51+044054.8
227.4890417,33.4541667,SDSS J150957.37+332715.0
227.4989167,33.4628056,SDSS J150959.74+332746.1
229.4373333,31.0043889,SDSS J151744.96+310015.8
229.6905,6.23225,SDSS J151845.72+061356.1
230.1876667,48.6563611,SDSS J152045.04+483922.9
230.3439167,4.3416944,SDSS J152122.54+042030.1
230.3624583,48.662,SDSS J152126.99+483943.2
230.646625,15.9521111,SDSS J152235.19+155707.6
230.862125,28.6256944,SDSS J152326.91+283732.5
231.2534583,33.3999444,SDSS J152500.83+332359.8
231.3430417,31.6769722,SDSS J152522.33+314037.1
231.8137917,13.6141389,SDSS J152715.31+133650.9
231.9056667,41.4964167,SDSS J152737.36+412947.1
232.44,30.7098889,SDSS J152945.60+304235.6
232.9115,6.6793056,SDSS J153138.76+064045.5
233.0637917,43.6456944,SDSS J153215.31+433844.5
234.0879583,8.6866944,SDSS J153621.11+084112.1
234.8837083,1.6195833,SDSS J153932.09+013710.5
235.4798333,1.4215,SDSS J154155.16+012517.4
