name,ra,dec
1FLAT J031951.8+184534,49.9657,18.75964
1FLAT J035154.6-370344,57.9773,-37.06228
1FLAT J050305.8+653401,75.77429,65.56697
1FLAT J121026.6+392908,182.6108,39.48573
1FLAT J141756.6+254325,214.48595,25.72379
1FLAT J002127.5-591948,5.36465,-59.33001
1FLAT J003135.4-564641,7.89751,-56.77808
1FLAT J003227.0-554010,8.11238,-55.66948
1FLAT J005806.2-460418,14.52593,-46.07194
1FLAT J011529.0-291844,18.87066,-29.31231
1FLAT J012548.2-630245,21.45082,-63.04588
1FLAT J013724.5-324039,24.35211,-32.67761
1FLAT J020334.0-250726,30.89166,-25.12405
1FLAT J031249.1-160004,48.20476,-16.00116
1FLAT J032659.6-374858,51.74851,-37.81625
1FLAT J032848.2-112754,52.20075,-11.46502
1FLAT J034741.4+072306,56.9224,7.38512
1FLAT J042038.7-475701,65.16143,-47.95055
1FLAT J042314.2-140838,65.80906,-14.144
1FLAT J055359.7-505143,88.4986,-50.86221
1FLAT J061141.7-291618,92.92358,-29.27188
1FLAT J070033.8-512006,105.141,-51.3352
1FLAT J070421.8-482646,106.090723,-48.446357
1FLAT J075119.2-002749,117.83001,-0.46365
1FLAT J081014.8-050702,122.56185,-5.11739
1FLAT J084343.8-693225,130.93238,-69.54046
1FLAT J093057.9-303118,142.74106,-30.52179
1FLAT J095851.9-352804,149.71612,-35.46791
1FLAT J095908.7-753429,149.78641,-75.57493
1FLAT J103852.2+325651,159.71743,32.94768
1FLAT J104330.2-062203,160.87602,-6.36766
1FLAT J105815.4+213503,164.56415,21.58441
1FLAT J111114.3+013428,167.80955,1.57452
1FLAT J111405.8+063458,168.52408,6.58285
1FLAT J111948.4-100707,169.95174,-10.11867
1FLAT J112213.7-022914,170.55712,-2.48729
1FLAT J121341.6+123636,183.42348,12.61017
1FLAT J121947.6-200837,184.94835,-20.14367
1FLAT J123933.6-345427,189.89012,-34.90763
1FLAT J124351.8+172644,190.96569,17.44566
1FLAT J132430.8-233838,201.12834,-23.6439
1FLAT J132953.8-155821,202.47421,-15.97261
1FLAT J142129.0-165456,215.37079,-16.91558
1FLAT J145224.5-414954,223.102188,-41.831672
1FLAT J180333.3-474158,270.888607,-47.699657
1FLAT J192304.0-474501,290.76674,-47.75039
1FLAT J195512.5-503007,298.802018,-50.502001
1FLAT J204220.4-532643,310.584918,-53.445297
1FLAT J205751.1-783020,314.46302,-78.50579
1FLAT J223709.8-672613,339.29065,-67.43705
1FLAT J224745.2-585457,341.93828,-58.91601
1FLAT J232809.3-442242,352.03876,-44.37858
1FLAT J012308.6+342048,20.78596,34.34681
1FLAT J023248.6+201717,38.20257,20.28817
1FLAT J034923.1-115924,57.34617,-11.99015
1FLAT J041652.5+010523,64.21876,1.08997
1FLAT J050756.2+673724,76.98407,67.62341
1FLAT J050657.9-543502,76.74116,-54.58414
1FLAT J060408.6-481725,91.036,-48.29039
